To use this log_lamb_rs, please run 'pip install tensorboardx'. Also you must have Tensorboard running to see results
Stage 3, GPU 0, Model 1, SWA False, Fold 0, Accuracy 0.77, New Accuracy 0.766
Stage 3, GPU 0, Model 1, SWA False, Fold 1, Accuracy 0.77, New Accuracy 0.768
Stage 3, GPU 0, Model 1, SWA False, Fold 2, Accuracy 0.77, New Accuracy 0.770
Stage 3, GPU 0, Model 1, SWA False, Fold 3, Accuracy 0.76, New Accuracy 0.761
Stage 3, GPU 0, Model 1, SWA False, Fold 4, Accuracy 0.75, New Accuracy 0.753
Stage 3, GPU 0, Model 1, SWA False, Fold 5, Accuracy 0.77, New Accuracy 0.770
Stage 3, GPU 0, Model 1, SWA False, Fold 6, Accuracy 0.77, New Accuracy 0.768
Stage 3, GPU 0, Model 1, SWA False, Fold 7, Accuracy 0.77, New Accuracy 0.767
Stage 3, GPU 0, Model 1, SWA False, Fold 8, Accuracy 0.77, New Accuracy 0.768
Stage 3, GPU 0, Model 1, SWA False, Fold 9, Accuracy 0.76, New Accuracy 0.761
Stage 3, GPU 0, Model 1, SWA False, OOF: 0.7654
Stage 3, GPU 0, Model 1, SWA True, Fold 0, Accuracy 0.76, New Accuracy 0.767
Stage 3, GPU 0, Model 1, SWA True, Fold 1, Accuracy 0.77, New Accuracy 0.778
Stage 3, GPU 0, Model 1, SWA True, Fold 2, Accuracy 0.77, New Accuracy 0.772
Stage 3, GPU 0, Model 1, SWA True, Fold 3, Accuracy 0.76, New Accuracy 0.771
Stage 3, GPU 0, Model 1, SWA True, Fold 4, Accuracy 0.75, New Accuracy 0.754
Stage 3, GPU 0, Model 1, SWA True, Fold 5, Accuracy 0.77, New Accuracy 0.775
Stage 3, GPU 0, Model 1, SWA True, Fold 6, Accuracy 0.76, New Accuracy 0.772
Stage 3, GPU 0, Model 1, SWA True, Fold 7, Accuracy 0.75, New Accuracy 0.755
Stage 3, GPU 0, Model 1, SWA True, Fold 8, Accuracy 0.77, New Accuracy 0.773
Stage 3, GPU 0, Model 1, SWA True, Fold 9, Accuracy 0.76, New Accuracy 0.768
Stage 3, GPU 0, Model 1, SWA True, OOF: 0.7686
Stage 3, GPU 1, Model 0, SWA False, Fold 0, Accuracy 0.77, New Accuracy 0.767
Stage 3, GPU 1, Model 0, SWA False, Fold 1, Accuracy 0.77, New Accuracy 0.771
Stage 3, GPU 1, Model 0, SWA False, Fold 2, Accuracy 0.77, New Accuracy 0.768
Stage 3, GPU 1, Model 0, SWA False, Fold 3, Accuracy 0.77, New Accuracy 0.774
Stage 3, GPU 1, Model 0, SWA False, Fold 4, Accuracy 0.75, New Accuracy 0.754
Stage 3, GPU 1, Model 0, SWA False, Fold 5, Accuracy 0.77, New Accuracy 0.773
Stage 3, GPU 1, Model 0, SWA False, Fold 6, Accuracy 0.75, New Accuracy 0.754
Stage 3, GPU 1, Model 0, SWA False, Fold 7, Accuracy 0.77, New Accuracy 0.774
Stage 3, GPU 1, Model 0, SWA False, Fold 8, Accuracy 0.77, New Accuracy 0.774
Stage 3, GPU 1, Model 0, SWA False, Fold 9, Accuracy 0.76, New Accuracy 0.756
Stage 3, GPU 1, Model 0, SWA False, OOF: 0.7666
Stage 3, GPU 1, Model 0, SWA True, Fold 0, Accuracy 0.77, New Accuracy 0.770
Stage 3, GPU 1, Model 0, SWA True, Fold 1, Accuracy 0.78, New Accuracy 0.783
Stage 3, GPU 1, Model 0, SWA True, Fold 2, Accuracy 0.77, New Accuracy 0.771
Stage 3, GPU 1, Model 0, SWA True, Fold 3, Accuracy 0.75, New Accuracy 0.746
Stage 3, GPU 1, Model 0, SWA True, Fold 4, Accuracy 0.75, New Accuracy 0.745
Stage 3, GPU 1, Model 0, SWA True, Fold 5, Accuracy 0.78, New Accuracy 0.776
Stage 3, GPU 1, Model 0, SWA True, Fold 6, Accuracy 0.76, New Accuracy 0.760
Stage 3, GPU 1, Model 0, SWA True, Fold 7, Accuracy 0.78, New Accuracy 0.777
Stage 3, GPU 1, Model 0, SWA True, Fold 8, Accuracy 0.77, New Accuracy 0.773
Stage 3, GPU 1, Model 0, SWA True, Fold 9, Accuracy 0.75, New Accuracy 0.754
Stage 3, GPU 1, Model 0, SWA True, OOF: 0.7655
Stage 3, GPU 1, Model 1, SWA False, Fold 0, Accuracy 0.77, New Accuracy 0.767
Stage 3, GPU 1, Model 1, SWA False, Fold 1, Accuracy 0.77, New Accuracy 0.773
Stage 3, GPU 1, Model 1, SWA False, Fold 2, Accuracy 0.77, New Accuracy 0.774
Stage 3, GPU 1, Model 1, SWA False, Fold 3, Accuracy 0.77, New Accuracy 0.771
Stage 3, GPU 1, Model 1, SWA False, Fold 4, Accuracy 0.76, New Accuracy 0.759
Stage 3, GPU 1, Model 1, SWA False, Fold 5, Accuracy 0.78, New Accuracy 0.779
Stage 3, GPU 1, Model 1, SWA False, Fold 6, Accuracy 0.77, New Accuracy 0.766
Stage 3, GPU 1, Model 1, SWA False, Fold 7, Accuracy 0.77, New Accuracy 0.767
Stage 3, GPU 1, Model 1, SWA False, Fold 8, Accuracy 0.77, New Accuracy 0.770
Stage 3, GPU 1, Model 1, SWA False, Fold 9, Accuracy 0.76, New Accuracy 0.761
Stage 3, GPU 1, Model 1, SWA False, OOF: 0.7686
Stage 3, GPU 1, Model 1, SWA True, Fold 0, Accuracy 0.77, New Accuracy 0.774
Stage 3, GPU 1, Model 1, SWA True, Fold 1, Accuracy 0.77, New Accuracy 0.774
Stage 3, GPU 1, Model 1, SWA True, Fold 2, Accuracy 0.77, New Accuracy 0.778
Stage 3, GPU 1, Model 1, SWA True, Fold 3, Accuracy 0.76, New Accuracy 0.763
Stage 3, GPU 1, Model 1, SWA True, Fold 4, Accuracy 0.77, New Accuracy 0.772
Stage 3, GPU 1, Model 1, SWA True, Fold 5, Accuracy 0.77, New Accuracy 0.783
Stage 3, GPU 1, Model 1, SWA True, Fold 6, Accuracy 0.77, New Accuracy 0.778
Stage 3, GPU 1, Model 1, SWA True, Fold 7, Accuracy 0.76, New Accuracy 0.759
Stage 3, GPU 1, Model 1, SWA True, Fold 8, Accuracy 0.77, New Accuracy 0.775
Stage 3, GPU 1, Model 1, SWA True, Fold 9, Accuracy 0.76, New Accuracy 0.761
Stage 3, GPU 1, Model 1, SWA True, OOF: 0.7718
