id,model_name,dropout,size,batch_size_t,batch_size_v,n_targets,criterion,gradient_accumulation_steps,max_gradient_norm,optimizer,scheduler,LR,T_0,T_max,T_mult,min_lr,max_lr,no_batches,warmup_epochs,cosine_epochs,epochs,update_per_batch,num_workers,n_folds,train_transforms,valid_transforms,observations,use_swa,swa_lr,swa_epoch,use_sam,use_asam,asam_rho,print_freq,one_fold,use_apex,distributed_training,save_to_log,oof-accuracy,oof-precision,oof-recall,cross-validation,public-leaderboard
0,swin_large_patch4_window12_384_in22k,0.5,384,5,32,5,CrossEntropyLoss,1,,AdamW,CosineAnnealingWarmRestarts,7e-06,200,10,2,1e-06,0.0001,2480,1,14,15,True,4,5,[],[],,True,0.01,0,True,True,0.1,50,True,True,False,True,0.3278709677419354,0.6241904797162703,0.3278709677419354,[0.7361290322580645],0
1,swin_large_patch4_window12_384_in22k,0.5,384,5,32,5,CrossEntropyLoss,1,,AdamW,CosineAnnealingWarmRestarts,1e-05,200,10,2,1e-06,0.0001,2480,1,14,15,True,4,5,[],[],,True,0.01,0,True,True,0.1,50,True,True,False,True,0.33,0.6391877297421857,0.33,[0.7467741935483871],0
2,swin_large_patch4_window12_384_in22k,0.5,384,5,32,5,CrossEntropyLoss,1,,AdamW,CosineAnnealingWarmRestarts,3e-05,200,10,2,1e-06,0.0001,2480,1,14,15,True,4,5,[],[],,True,0.01,0,True,True,0.1,50,True,True,False,True,0.3326451612903225,0.6587654000726103,0.3326451612903225,[0.76],0
3,swin_large_patch4_window12_384_in22k,0.5,384,5,32,5,CrossEntropyLoss,1,,AdamW,CosineAnnealingWarmRestarts,5e-05,200,10,2,1e-06,0.0001,2480,1,14,15,True,4,5,[],[],,True,0.01,0,True,True,0.1,50,True,True,False,True,0.3326451612903225,0.6488924445944761,0.3326451612903225,[0.76],0
4,swin_large_patch4_window12_384_in22k,0.5,384,5,32,5,CrossEntropyLoss,1,,AdamW,CosineAnnealingWarmRestarts,7e-05,200,10,2,1e-06,0.0001,2480,1,14,15,True,4,5,[],[],,True,0.01,0,True,True,0.1,50,True,True,False,True,0.3345161290322581,0.6649615314091728,0.3345161290322581,[0.7693548387096775],0
5,swin_large_patch4_window12_384_in22k,0.5,384,5,32,5,CrossEntropyLoss,1,,AdamW,CosineAnnealingWarmRestarts,0.0001,200,10,2,1e-06,0.0001,2480,1,14,15,True,4,5,[],[],,True,0.01,0,True,True,0.1,50,True,True,False,True,0.3336129032258064,0.6606503434340686,0.3336129032258064,[0.7648387096774194],0
6,swin_large_patch4_window12_384_in22k,0.5,384,5,32,5,CrossEntropyLoss,1,,AdamW,CosineAnnealingWarmRestarts,0.0003,200,10,2,1e-06,0.0001,2480,1,14,15,True,4,5,[],[],,True,0.01,0,True,True,0.1,50,True,True,False,True,0.2258064516129032,0.0509885535900104,0.2258064516129032,[0.22580645161290322],0
7,swin_large_patch4_window12_384_in22k,0.5,384,5,32,5,CrossEntropyLoss,1,,AdamW,CosineAnnealingWarmRestarts,7e-06,200,10,2,1e-06,0.0001,2480,1,14,15,True,4,5,"[HorizontalFlip(always_apply=False, p=0.5), VerticalFlip(always_apply=False, p=0.5), RandomRotate90(always_apply=False, p=0.5)]",[],,True,0.01,0,True,True,0.1,50,True,True,False,True,0.3266451612903225,0.6355906368408413,0.3266451612903225,[0.73],0
8,swin_large_patch4_window12_384_in22k,0.5,384,5,32,5,CrossEntropyLoss,1,,AdamW,CosineAnnealingWarmRestarts,1e-05,200,10,2,1e-06,0.0001,2480,1,14,15,True,4,5,"[HorizontalFlip(always_apply=False, p=0.5), VerticalFlip(always_apply=False, p=0.5), RandomRotate90(always_apply=False, p=0.5)]",[],,True,0.01,0,True,True,0.1,50,True,True,False,True,0.328,0.6363026968424503,0.328,[0.7367741935483871],0
9,swin_large_patch4_window12_384_in22k,0.5,384,5,32,5,CrossEntropyLoss,1,,AdamW,CosineAnnealingWarmRestarts,3e-05,200,10,2,1e-06,0.0001,2480,1,14,15,True,4,5,"[HorizontalFlip(always_apply=False, p=0.5), VerticalFlip(always_apply=False, p=0.5), RandomRotate90(always_apply=False, p=0.5)]",[],,True,0.01,0,True,True,0.1,50,True,True,False,True,0.3305161290322581,0.6440512923746868,0.3305161290322581,[0.7493548387096775],0
10,swin_large_patch4_window12_384_in22k,0.5,384,5,32,5,CrossEntropyLoss,1,,AdamW,CosineAnnealingWarmRestarts,5e-05,200,10,2,1e-06,0.0001,2480,1,14,15,True,4,5,"[HorizontalFlip(always_apply=False, p=0.5), VerticalFlip(always_apply=False, p=0.5), RandomRotate90(always_apply=False, p=0.5)]",[],,True,0.01,0,True,True,0.1,50,True,True,False,True,0.3315483870967742,0.6555564263590544,0.3315483870967742,[0.7545161290322581],0
11,swin_large_patch4_window12_384_in22k,0.5,384,5,32,5,CrossEntropyLoss,1,,AdamW,CosineAnnealingWarmRestarts,7e-05,200,10,2,1e-06,0.0001,2480,1,14,15,True,4,5,"[HorizontalFlip(always_apply=False, p=0.5), VerticalFlip(always_apply=False, p=0.5), RandomRotate90(always_apply=False, p=0.5)]",[],,True,0.01,0,True,True,0.1,50,True,True,False,True,0.3312258064516129,0.6534436748431973,0.3312258064516129,[0.7529032258064516],0
12,swin_large_patch4_window12_384_in22k,0.5,384,5,32,5,CrossEntropyLoss,1,,AdamW,CosineAnnealingWarmRestarts,0.0001,200,10,2,1e-06,0.0001,2480,1,14,15,True,4,5,"[HorizontalFlip(always_apply=False, p=0.5), VerticalFlip(always_apply=False, p=0.5), RandomRotate90(always_apply=False, p=0.5)]",[],,True,0.01,0,True,True,0.1,50,True,True,False,True,0.2258064516129032,0.0509885535900104,0.2258064516129032,[0.22580645161290322],0
13,swin_large_patch4_window12_384_in22k,0.5,384,5,32,5,CrossEntropyLoss,1,,AdamW,CosineAnnealingWarmRestarts,0.0003,200,10,2,1e-06,0.0001,2480,1,14,15,True,4,5,"[HorizontalFlip(always_apply=False, p=0.5), VerticalFlip(always_apply=False, p=0.5), RandomRotate90(always_apply=False, p=0.5)]",[],,True,0.01,0,True,True,0.1,50,True,True,False,True,0.2258064516129032,0.0509885535900104,0.2258064516129032,[0.22580645161290322],0
