id,label,model_0,model_1,swa_model_1,model_20,swa_model_20
ae36b992-7c8d-42c6-851f-51aca56285ec.png,1,1.0,1.0,1.0,1.0,1.0
09c10b66-6d7e-4688-aa26-42b75cf5e1e9.png,1,1.0,1.0,1.0,1.0,1.0
da6684f7-aabb-49e6-8bb0-c4e048e2dbba.png,2,2.0,1.0,1.0,1.0,1.0
032dd82e-8776-476c-8d80-8e67d1d4909f.png,5,5.0,5.0,5.0,5.0,5.0
e0a6d04b-18fa-4b15-89e2-6cb74fbcf437.png,2,2.0,2.0,2.0,2.0,2.0
fb45b99a-856d-4c23-9da5-43c74a16b080.png,1,1.0,1.0,1.0,1.0,1.0
af42da04-52c5-42b0-865e-3fb85813c366.png,3,4.0,3.0,1.0,3.0,3.0
2ccfc2ad-87fb-402f-85aa-7a6d651cd7d9.png,1,1.0,1.0,1.0,1.0,1.0
ca9ecf1e-3437-438c-8dd7-e7aae697c7bc.png,3,3.0,3.0,3.0,3.0,3.0
0b942a25-7bb4-496e-81be-3e89124b5180.png,1,1.0,1.0,1.0,1.0,1.0
cb68455d-c3e5-4150-98f6-52f586b0b4d3.png,1,1.0,1.0,1.0,1.0,1.0
0f0d61a7-b07d-4766-a447-26b588558b8a.png,4,4.0,4.0,4.0,4.0,4.0
1107b21a-6f81-487e-8d98-025ab2c8c86a.png,5,3.0,4.0,5.0,3.0,3.0
dcbcf564-43bb-413a-889d-becd2c2cba52.png,2,2.0,2.0,2.0,2.0,2.0
a7886aaa-39f0-447b-ba3d-d5365028c581.png,2,2.0,2.0,2.0,2.0,2.0
d60473e7-57ce-4e42-9bab-7a2bc1d7ba78.png,4,4.0,4.0,3.0,4.0,4.0
ed21dd51-578d-4eeb-8eaa-2533cc6a2e02.png,2,2.0,2.0,2.0,2.0,2.0
1390d513-98d3-4cfe-969c-5b399d473df3.png,1,1.0,1.0,1.0,1.0,1.0
1c0be692-3c7c-42e0-8545-937d6cdecf11.png,2,2.0,2.0,2.0,2.0,2.0
c821ea57-f64b-4c08-b53c-1edf40755462.png,3,3.0,3.0,3.0,3.0,3.0
43d830a8-3a23-48a0-9387-76cef36dbbb4.png,1,1.0,1.0,1.0,1.0,1.0
51d3be2c-6628-4fe7-9a44-881fcb537342.png,2,2.0,2.0,2.0,2.0,2.0
1995a145-c2f6-4b97-b596-6d431c9a6ead.png,2,2.0,2.0,3.0,2.0,2.0
5de1cffd-988d-494f-842e-a9d397d8b146.png,5,5.0,5.0,5.0,5.0,5.0
3284a8c9-95ad-4d66-9e51-cd1c9c516196.png,4,4.0,4.0,4.0,4.0,4.0
a5b6e387-880c-4252-b698-9c4bf63d964b.png,5,4.0,4.0,4.0,4.0,4.0
