[GPU 0]: Config File
{'id': 22, 'model_name': 'swin_large_patch4_window12_384_in22k', 'dropout': 0.5, 'size': 384, 'batch_size_t': 4, 'batch_size_v': 32, 'n_targets': 5, 'criterion': 'CrossEntropyLoss', 'gradient_accumulation_steps': 1, 'max_gradient_norm': None, 'optimizer': 'RangerLars', 'scheduler': 'CosineAnnealingWarmRestarts', 'LR': 1e-05, 'T_0': 500, 'T_max': 10, 'T_mult': 5, 'min_lr': 1e-06, 'max_lr': 0.0001, 'no_batches': 'NA', 'warmup_epochs': 1, 'cosine_epochs': 14, 'epochs': 15, 'update_per_batch': True, 'num_workers': 4, 'n_folds': 5, 'train_transforms': [HorizontalFlip(always_apply=False, p=0.5), VerticalFlip(always_apply=False, p=0.5), RandomRotate90(always_apply=False, p=0.5)], 'valid_transforms': [], 'observations': None, 'use_swa': True, 'swa_lr': 0.01, 'swa_epoch': 0, 'use_sam': True, 'use_asam': True, 'asam_rho': 0.1, 'print_freq': 50, 'one_fold': True, 'use_apex': True, 'distributed_training': False, 'save_to_log': True}
================================================== Training Fold: 0 ==================================================
[GPU cuda:0][TRAIN] Epoch: [1][0/3100], Elapsed 0m 0s (remain 24m 12s), Accuracy: 0.000(0.000), Loss: 1.683(1.683), LR: 0.000010
[GPU cuda:0][TRAIN] Epoch: [1][50/3100], Elapsed 0m 16s (remain 16m 2s), Accuracy: 50.000(15.196), Loss: 1.603(1.657), LR: 0.000010
[GPU cuda:0][TRAIN] Epoch: [1][100/3100], Elapsed 0m 31s (remain 15m 45s), Accuracy: 25.000(16.584), Loss: 1.498(1.650), LR: 0.000009
[GPU cuda:0][TRAIN] Epoch: [1][150/3100], Elapsed 0m 47s (remain 15m 28s), Accuracy: 25.000(16.556), Loss: 1.454(1.649), LR: 0.000008
[GPU cuda:0][TRAIN] Epoch: [1][200/3100], Elapsed 1m 3s (remain 15m 12s), Accuracy: 0.000(16.791), Loss: 1.634(1.654), LR: 0.000007
[GPU cuda:0][TRAIN] Epoch: [1][250/3100], Elapsed 1m 18s (remain 14m 55s), Accuracy: 25.000(17.231), Loss: 1.699(1.651), LR: 0.000005
[GPU cuda:0][TRAIN] Epoch: [1][300/3100], Elapsed 1m 34s (remain 14m 39s), Accuracy: 25.000(17.608), Loss: 1.543(1.649), LR: 0.000004
[GPU cuda:0][TRAIN] Epoch: [1][350/3100], Elapsed 1m 50s (remain 14m 24s), Accuracy: 50.000(18.519), Loss: 1.569(1.646), LR: 0.000003
[GPU cuda:0][TRAIN] Epoch: [1][400/3100], Elapsed 2m 6s (remain 14m 8s), Accuracy: 0.000(18.579), Loss: 1.836(1.644), LR: 0.000002
[GPU cuda:0][TRAIN] Epoch: [1][450/3100], Elapsed 2m 21s (remain 13m 52s), Accuracy: 50.000(19.401), Loss: 1.472(1.638), LR: 0.000001
[GPU cuda:0][TRAIN] Epoch: [1][500/3100], Elapsed 2m 37s (remain 13m 36s), Accuracy: 25.000(19.261), Loss: 1.728(1.637), LR: 0.000010
[GPU cuda:0][TRAIN] Epoch: [1][550/3100], Elapsed 2m 53s (remain 13m 20s), Accuracy: 0.000(19.056), Loss: 1.761(1.638), LR: 0.000010
[GPU cuda:0][TRAIN] Epoch: [1][600/3100], Elapsed 3m 8s (remain 13m 5s), Accuracy: 0.000(18.927), Loss: 1.702(1.638), LR: 0.000010
[GPU cuda:0][TRAIN] Epoch: [1][650/3100], Elapsed 3m 24s (remain 12m 49s), Accuracy: 25.000(19.278), Loss: 1.728(1.636), LR: 0.000010
[GPU cuda:0][TRAIN] Epoch: [1][700/3100], Elapsed 3m 40s (remain 12m 33s), Accuracy: 75.000(19.223), Loss: 1.463(1.634), LR: 0.000010
[GPU cuda:0][TRAIN] Epoch: [1][750/3100], Elapsed 3m 55s (remain 12m 17s), Accuracy: 25.000(19.507), Loss: 1.582(1.632), LR: 0.000010
[GPU cuda:0][TRAIN] Epoch: [1][800/3100], Elapsed 4m 11s (remain 12m 2s), Accuracy: 25.000(19.444), Loss: 1.588(1.631), LR: 0.000010
[GPU cuda:0][TRAIN] Epoch: [1][850/3100], Elapsed 4m 27s (remain 11m 46s), Accuracy: 25.000(19.888), Loss: 1.578(1.629), LR: 0.000010
[GPU cuda:0][TRAIN] Epoch: [1][900/3100], Elapsed 4m 43s (remain 11m 30s), Accuracy: 50.000(19.978), Loss: 1.541(1.628), LR: 0.000009
