[GPU 0]: Config File
{'id': 28, 'model_name': 'swin_large_patch4_window12_384_in22k', 'dropout': 0.5, 'size': 384, 'batch_size_t': 4, 'batch_size_v': 32, 'n_targets': 5, 'criterion': 'CrossEntropyLoss', 'gradient_accumulation_steps': 1, 'max_gradient_norm': None, 'optimizer': 'RangerLars', 'scheduler': 'OneCycleLR', 'LR': 7e-06, 'T_0': 200, 'T_max': 10, 'T_mult': 2, 'min_lr': 1e-06, 'max_lr': 3.5e-05, 'no_batches': 3100, 'warmup_epochs': 1, 'cosine_epochs': 14, 'epochs': 15, 'update_per_batch': True, 'num_workers': 4, 'n_folds': 5, 'train_transforms': [], 'valid_transforms': [], 'observations': None, 'use_swa': True, 'swa_lr': 0.01, 'swa_epoch': 0, 'use_sam': True, 'use_asam': True, 'asam_rho': 0.1, 'print_freq': 50, 'one_fold': True, 'use_apex': True, 'distributed_training': False, 'save_to_log': True}
================================================== Training Fold: 0 ==================================================
[GPU cuda:0][TRAIN] Epoch: [1][0/3100], Elapsed 0m 0s (remain 24m 13s), Accuracy: 0.000(0.000), Loss: 1.718(1.718), LR: 0.000001
[GPU cuda:0][TRAIN] Epoch: [1][50/3100], Elapsed 0m 15s (remain 15m 41s), Accuracy: 25.000(15.196), Loss: 1.559(1.666), LR: 0.000001
[GPU cuda:0][TRAIN] Epoch: [1][100/3100], Elapsed 0m 31s (remain 15m 29s), Accuracy: 25.000(16.337), Loss: 1.484(1.659), LR: 0.000001
[GPU cuda:0][TRAIN] Epoch: [1][150/3100], Elapsed 0m 46s (remain 15m 15s), Accuracy: 25.000(16.391), Loss: 1.513(1.658), LR: 0.000001
[GPU cuda:0][TRAIN] Epoch: [1][200/3100], Elapsed 1m 2s (remain 15m 0s), Accuracy: 0.000(15.672), Loss: 1.570(1.666), LR: 0.000001
[GPU cuda:0][TRAIN] Epoch: [1][250/3100], Elapsed 1m 18s (remain 14m 45s), Accuracy: 25.000(16.833), Loss: 1.731(1.663), LR: 0.000001
[GPU cuda:0][TRAIN] Epoch: [1][300/3100], Elapsed 1m 33s (remain 14m 30s), Accuracy: 25.000(16.611), Loss: 1.619(1.664), LR: 0.000001
[GPU cuda:0][TRAIN] Epoch: [1][350/3100], Elapsed 1m 49s (remain 14m 15s), Accuracy: 0.000(16.738), Loss: 1.700(1.663), LR: 0.000001
[GPU cuda:0][TRAIN] Epoch: [1][400/3100], Elapsed 2m 4s (remain 13m 59s), Accuracy: 0.000(16.958), Loss: 1.918(1.662), LR: 0.000001
[GPU cuda:0][TRAIN] Epoch: [1][450/3100], Elapsed 2m 20s (remain 13m 44s), Accuracy: 50.000(17.627), Loss: 1.478(1.656), LR: 0.000001
[GPU cuda:0][TRAIN] Epoch: [1][500/3100], Elapsed 2m 35s (remain 13m 28s), Accuracy: 0.000(17.814), Loss: 1.729(1.654), LR: 0.000002
[GPU cuda:0][TRAIN] Epoch: [1][550/3100], Elapsed 2m 51s (remain 13m 13s), Accuracy: 0.000(17.877), Loss: 1.814(1.654), LR: 0.000002
[GPU cuda:0][TRAIN] Epoch: [1][600/3100], Elapsed 3m 6s (remain 12m 57s), Accuracy: 50.000(17.928), Loss: 1.554(1.653), LR: 0.000002
[GPU cuda:0][TRAIN] Epoch: [1][650/3100], Elapsed 3m 22s (remain 12m 41s), Accuracy: 0.000(17.857), Loss: 1.848(1.652), LR: 0.000002
[GPU cuda:0][TRAIN] Epoch: [1][700/3100], Elapsed 3m 38s (remain 12m 26s), Accuracy: 25.000(17.867), Loss: 1.594(1.651), LR: 0.000002
[GPU cuda:0][TRAIN] Epoch: [1][750/3100], Elapsed 3m 53s (remain 12m 10s), Accuracy: 0.000(18.043), Loss: 1.629(1.649), LR: 0.000002
[GPU cuda:0][TRAIN] Epoch: [1][800/3100], Elapsed 4m 9s (remain 11m 54s), Accuracy: 0.000(18.009), Loss: 1.623(1.649), LR: 0.000002
[GPU cuda:0][TRAIN] Epoch: [1][850/3100], Elapsed 4m 24s (remain 11m 39s), Accuracy: 0.000(18.008), Loss: 1.749(1.648), LR: 0.000002
