[GPU 0]: Config File
{'id': 29, 'model_name': 'swin_large_patch4_window12_384_in22k', 'dropout': 0.5, 'size': 384, 'batch_size_t': 4, 'batch_size_v': 8, 'n_targets': 5, 'criterion': 'CrossEntropyLoss', 'gradient_accumulation_steps': 1, 'max_gradient_norm': None, 'optimizer': 'RangerLars', 'scheduler': 'OneCycleLR', 'LR': 1e-05, 'T_0': 200, 'T_max': 10, 'T_mult': 2, 'min_lr': 1e-06, 'max_lr': 5e-05, 'no_batches': 3100, 'warmup_epochs': 1, 'cosine_epochs': 14, 'epochs': 15, 'update_per_batch': True, 'num_workers': 4, 'n_folds': 5, 'train_transforms': [], 'valid_transforms': [], 'observations': None, 'use_swa': True, 'swa_lr': 0.01, 'swa_epoch': 0, 'use_sam': True, 'use_asam': True, 'asam_rho': 0.1, 'print_freq': 50, 'one_fold': True, 'use_apex': True, 'distributed_training': False, 'save_to_log': True}
================================================== Training Fold: 0 ==================================================
[GPU cuda:0][TRAIN] Epoch: [1][0/3100], Elapsed 0m 2s (remain 108m 58s), Accuracy: 0.000(0.000), Loss: 1.718(1.718), LR: 0.000002
[GPU cuda:0][TRAIN] Epoch: [1][50/3100], Elapsed 0m 17s (remain 17m 13s), Accuracy: 25.000(15.196), Loss: 1.559(1.666), LR: 0.000002
[GPU cuda:0][TRAIN] Epoch: [1][100/3100], Elapsed 0m 32s (remain 16m 9s), Accuracy: 25.000(16.337), Loss: 1.484(1.659), LR: 0.000002
[GPU cuda:0][TRAIN] Epoch: [1][150/3100], Elapsed 0m 48s (remain 15m 38s), Accuracy: 25.000(16.391), Loss: 1.513(1.657), LR: 0.000002
[GPU cuda:0][TRAIN] Epoch: [1][200/3100], Elapsed 1m 3s (remain 15m 14s), Accuracy: 0.000(15.672), Loss: 1.570(1.665), LR: 0.000002
[GPU cuda:0][TRAIN] Epoch: [1][250/3100], Elapsed 1m 18s (remain 14m 54s), Accuracy: 25.000(16.633), Loss: 1.726(1.662), LR: 0.000002
[GPU cuda:0][TRAIN] Epoch: [1][300/3100], Elapsed 1m 34s (remain 14m 36s), Accuracy: 25.000(16.611), Loss: 1.622(1.663), LR: 0.000002
[GPU cuda:0][TRAIN] Epoch: [1][350/3100], Elapsed 1m 49s (remain 14m 18s), Accuracy: 0.000(16.809), Loss: 1.697(1.662), LR: 0.000002
[GPU cuda:0][TRAIN] Epoch: [1][400/3100], Elapsed 2m 5s (remain 14m 1s), Accuracy: 0.000(16.895), Loss: 1.908(1.661), LR: 0.000002
[GPU cuda:0][TRAIN] Epoch: [1][450/3100], Elapsed 2m 20s (remain 13m 45s), Accuracy: 50.000(17.627), Loss: 1.477(1.655), LR: 0.000002
[GPU cuda:0][TRAIN] Epoch: [1][500/3100], Elapsed 2m 35s (remain 13m 29s), Accuracy: 0.000(17.764), Loss: 1.721(1.652), LR: 0.000002
[GPU cuda:0][TRAIN] Epoch: [1][550/3100], Elapsed 2m 51s (remain 13m 13s), Accuracy: 0.000(17.786), Loss: 1.797(1.652), LR: 0.000002
[GPU cuda:0][TRAIN] Epoch: [1][600/3100], Elapsed 3m 6s (remain 12m 56s), Accuracy: 50.000(17.887), Loss: 1.565(1.651), LR: 0.000002
