[GPU 0]: Config File
{'id': 30, 'model_name': 'swin_large_patch4_window12_384_in22k', 'dropout': 0.5, 'size': 384, 'batch_size_t': 4, 'batch_size_v': 8, 'n_targets': 5, 'criterion': 'CrossEntropyLoss', 'gradient_accumulation_steps': 1, 'max_gradient_norm': None, 'optimizer': 'RangerLars', 'scheduler': 'OneCycleLR', 'LR': 3e-05, 'T_0': 200, 'T_max': 10, 'T_mult': 2, 'min_lr': 1e-06, 'max_lr': 0.00015000000000000001, 'no_batches': 3100, 'warmup_epochs': 1, 'cosine_epochs': 14, 'epochs': 15, 'update_per_batch': True, 'num_workers': 4, 'n_folds': 5, 'train_transforms': [], 'valid_transforms': [], 'observations': None, 'use_swa': True, 'swa_lr': 0.01, 'swa_epoch': 0, 'use_sam': True, 'use_asam': True, 'asam_rho': 0.1, 'print_freq': 50, 'one_fold': True, 'use_apex': True, 'distributed_training': False, 'save_to_log': True}
================================================== Training Fold: 0 ==================================================
[GPU cuda:0][TRAIN] Epoch: [1][0/3100], Elapsed 0m 0s (remain 24m 57s), Accuracy: 0.000(0.000), Loss: 1.718(1.718), LR: 0.000006
[GPU cuda:0][TRAIN] Epoch: [1][50/3100], Elapsed 0m 15s (remain 15m 47s), Accuracy: 50.000(16.176), Loss: 1.554(1.666), LR: 0.000006
[GPU cuda:0][TRAIN] Epoch: [1][100/3100], Elapsed 0m 31s (remain 15m 28s), Accuracy: 25.000(17.079), Loss: 1.485(1.658), LR: 0.000006
[GPU cuda:0][TRAIN] Epoch: [1][150/3100], Elapsed 0m 46s (remain 15m 12s), Accuracy: 25.000(16.556), Loss: 1.511(1.655), LR: 0.000006
[GPU cuda:0][TRAIN] Epoch: [1][200/3100], Elapsed 1m 2s (remain 14m 57s), Accuracy: 0.000(15.920), Loss: 1.560(1.661), LR: 0.000006
[GPU cuda:0][TRAIN] Epoch: [1][250/3100], Elapsed 1m 17s (remain 14m 42s), Accuracy: 25.000(16.534), Loss: 1.704(1.658), LR: 0.000006
[GPU cuda:0][TRAIN] Epoch: [1][300/3100], Elapsed 1m 33s (remain 14m 26s), Accuracy: 25.000(16.694), Loss: 1.641(1.657), LR: 0.000006
[GPU cuda:0][TRAIN] Epoch: [1][350/3100], Elapsed 1m 48s (remain 14m 10s), Accuracy: 0.000(17.379), Loss: 1.674(1.655), LR: 0.000006
[GPU cuda:0][TRAIN] Epoch: [1][400/3100], Elapsed 2m 4s (remain 13m 55s), Accuracy: 0.000(17.456), Loss: 1.858(1.653), LR: 0.000006
[GPU cuda:0][TRAIN] Epoch: [1][450/3100], Elapsed 2m 19s (remain 13m 40s), Accuracy: 50.000(18.293), Loss: 1.480(1.647), LR: 0.000006
[GPU cuda:0][TRAIN] Epoch: [1][500/3100], Elapsed 2m 35s (remain 13m 24s), Accuracy: 25.000(18.313), Loss: 1.681(1.644), LR: 0.000006
[GPU cuda:0][TRAIN] Epoch: [1][550/3100], Elapsed 2m 50s (remain 13m 9s), Accuracy: 0.000(18.194), Loss: 1.727(1.643), LR: 0.000007
[GPU cuda:0][TRAIN] Epoch: [1][600/3100], Elapsed 3m 6s (remain 12m 53s), Accuracy: 25.000(18.220), Loss: 1.603(1.642), LR: 0.000007
[GPU cuda:0][TRAIN] Epoch: [1][650/3100], Elapsed 3m 21s (remain 12m 38s), Accuracy: 0.000(18.280), Loss: 1.754(1.640), LR: 0.000007
[GPU cuda:0][TRAIN] Epoch: [1][700/3100], Elapsed 3m 36s (remain 12m 22s), Accuracy: 50.000(18.509), Loss: 1.490(1.638), LR: 0.000007
[GPU cuda:0][TRAIN] Epoch: [1][750/3100], Elapsed 3m 52s (remain 12m 7s), Accuracy: 25.000(18.941), Loss: 1.563(1.635), LR: 0.000007
[GPU cuda:0][TRAIN] Epoch: [1][800/3100], Elapsed 4m 7s (remain 11m 51s), Accuracy: 25.000(18.883), Loss: 1.574(1.634), LR: 0.000007
[GPU cuda:0][TRAIN] Epoch: [1][850/3100], Elapsed 4m 23s (remain 11m 36s), Accuracy: 25.000(19.389), Loss: 1.621(1.632), LR: 0.000007
[GPU cuda:0][TRAIN] Epoch: [1][900/3100], Elapsed 4m 38s (remain 11m 20s), Accuracy: 25.000(19.451), Loss: 1.583(1.631), LR: 0.000007
[GPU cuda:0][TRAIN] Epoch: [1][950/3100], Elapsed 4m 54s (remain 11m 5s), Accuracy: 50.000(19.611), Loss: 1.577(1.631), LR: 0.000008
[GPU cuda:0][TRAIN] Epoch: [1][1000/3100], Elapsed 5m 9s (remain 10m 49s), Accuracy: 50.000(19.980), Loss: 1.574(1.629), LR: 0.000008
[GPU cuda:0][TRAIN] Epoch: [1][1050/3100], Elapsed 5m 25s (remain 10m 34s), Accuracy: 0.000(20.266), Loss: 1.598(1.628), LR: 0.000008
[GPU cuda:0][TRAIN] Epoch: [1][1100/3100], Elapsed 5m 40s (remain 10m 18s), Accuracy: 25.000(20.618), Loss: 1.599(1.626), LR: 0.000008
[GPU cuda:0][TRAIN] Epoch: [1][1150/3100], Elapsed 5m 56s (remain 10m 3s), Accuracy: 0.000(20.808), Loss: 1.679(1.625), LR: 0.000008
[GPU cuda:0][TRAIN] Epoch: [1][1200/3100], Elapsed 6m 11s (remain 9m 47s), Accuracy: 50.000(20.962), Loss: 1.484(1.623), LR: 0.000009
[GPU cuda:0][TRAIN] Epoch: [1][1250/3100], Elapsed 6m 27s (remain 9m 32s), Accuracy: 25.000(21.183), Loss: 1.650(1.622), LR: 0.000009
[GPU cuda:0][TRAIN] Epoch: [1][1300/3100], Elapsed 6m 42s (remain 9m 16s), Accuracy: 25.000(21.637), Loss: 1.652(1.620), LR: 0.000009
[GPU cuda:0][TRAIN] Epoch: [1][1350/3100], Elapsed 6m 58s (remain 9m 1s), Accuracy: 50.000(21.799), Loss: 1.467(1.619), LR: 0.000009
