[GPU 0]: Config File
{'id': 35, 'model_name': 'swin_large_patch4_window12_384_in22k', 'dropout': 0.5, 'size': 384, 'batch_size_t': 4, 'batch_size_v': 8, 'n_targets': 5, 'criterion': 'CrossEntropyLoss', 'gradient_accumulation_steps': 1, 'max_gradient_norm': None, 'optimizer': 'RangerLars', 'scheduler': 'OneCycleLR', 'LR': 7e-06, 'T_0': 200, 'T_max': 10, 'T_mult': 2, 'min_lr': 1e-06, 'max_lr': 3.5e-05, 'no_batches': 3100, 'warmup_epochs': 1, 'cosine_epochs': 14, 'epochs': 15, 'update_per_batch': True, 'num_workers': 4, 'n_folds': 5, 'train_transforms': [HorizontalFlip(always_apply=False, p=0.5), VerticalFlip(always_apply=False, p=0.5), RandomRotate90(always_apply=False, p=0.5)], 'valid_transforms': [], 'observations': None, 'use_swa': True, 'swa_lr': 0.01, 'swa_epoch': 0, 'use_sam': True, 'use_asam': True, 'asam_rho': 0.1, 'print_freq': 50, 'one_fold': True, 'use_apex': True, 'distributed_training': False, 'save_to_log': True}
================================================== Training Fold: 0 ==================================================
[GPU cuda:0][TRAIN] Epoch: [1][0/3100], Elapsed 0m 0s (remain 24m 22s), Accuracy: 0.000(0.000), Loss: 1.683(1.683), LR: 0.000001
[GPU cuda:0][TRAIN] Epoch: [1][50/3100], Elapsed 0m 15s (remain 15m 46s), Accuracy: 25.000(14.706), Loss: 1.606(1.658), LR: 0.000001
[GPU cuda:0][TRAIN] Epoch: [1][100/3100], Elapsed 0m 31s (remain 15m 30s), Accuracy: 25.000(16.337), Loss: 1.497(1.651), LR: 0.000001
[GPU cuda:0][TRAIN] Epoch: [1][150/3100], Elapsed 0m 46s (remain 15m 14s), Accuracy: 25.000(16.391), Loss: 1.458(1.652), LR: 0.000001
[GPU cuda:0][TRAIN] Epoch: [1][200/3100], Elapsed 1m 2s (remain 14m 57s), Accuracy: 0.000(16.542), Loss: 1.651(1.659), LR: 0.000001
[GPU cuda:0][TRAIN] Epoch: [1][250/3100], Elapsed 1m 17s (remain 14m 40s), Accuracy: 25.000(16.932), Loss: 1.729(1.658), LR: 0.000001
[GPU cuda:0][TRAIN] Epoch: [1][300/3100], Elapsed 1m 33s (remain 14m 25s), Accuracy: 25.000(16.860), Loss: 1.527(1.657), LR: 0.000001
[GPU cuda:0][TRAIN] Epoch: [1][350/3100], Elapsed 1m 48s (remain 14m 11s), Accuracy: 50.000(17.806), Loss: 1.569(1.655), LR: 0.000001
[GPU cuda:0][TRAIN] Epoch: [1][400/3100], Elapsed 2m 4s (remain 13m 56s), Accuracy: 0.000(17.955), Loss: 1.897(1.654), LR: 0.000001
[GPU cuda:0][TRAIN] Epoch: [1][450/3100], Elapsed 2m 19s (remain 13m 40s), Accuracy: 75.000(18.847), Loss: 1.461(1.647), LR: 0.000001
[GPU cuda:0][TRAIN] Epoch: [1][500/3100], Elapsed 2m 35s (remain 13m 25s), Accuracy: 25.000(18.762), Loss: 1.744(1.646), LR: 0.000002
[GPU cuda:0][TRAIN] Epoch: [1][550/3100], Elapsed 2m 50s (remain 13m 10s), Accuracy: 0.000(18.693), Loss: 1.859(1.648), LR: 0.000002
[GPU cuda:0][TRAIN] Epoch: [1][600/3100], Elapsed 3m 6s (remain 12m 55s), Accuracy: 25.000(18.594), Loss: 1.656(1.648), LR: 0.000002
[GPU cuda:0][TRAIN] Epoch: [1][650/3100], Elapsed 3m 21s (remain 12m 39s), Accuracy: 0.000(18.702), Loss: 1.822(1.647), LR: 0.000002
[GPU cuda:0][TRAIN] Epoch: [1][700/3100], Elapsed 3m 37s (remain 12m 24s), Accuracy: 25.000(18.509), Loss: 1.553(1.647), LR: 0.000002
[GPU cuda:0][TRAIN] Epoch: [1][750/3100], Elapsed 3m 53s (remain 12m 8s), Accuracy: 0.000(18.609), Loss: 1.672(1.645), LR: 0.000002
[GPU cuda:0][TRAIN] Epoch: [1][800/3100], Elapsed 4m 8s (remain 11m 53s), Accuracy: 0.000(18.539), Loss: 1.626(1.645), LR: 0.000002
[GPU cuda:0][TRAIN] Epoch: [1][850/3100], Elapsed 4m 24s (remain 11m 38s), Accuracy: 0.000(18.596), Loss: 1.719(1.644), LR: 0.000002
[GPU cuda:0][TRAIN] Epoch: [1][900/3100], Elapsed 4m 39s (remain 11m 22s), Accuracy: 25.000(18.701), Loss: 1.624(1.644), LR: 0.000002
[GPU cuda:0][TRAIN] Epoch: [1][950/3100], Elapsed 4m 55s (remain 11m 7s), Accuracy: 25.000(18.586), Loss: 1.658(1.644), LR: 0.000002
[GPU cuda:0][TRAIN] Epoch: [1][1000/3100], Elapsed 5m 10s (remain 10m 51s), Accuracy: 25.000(18.656), Loss: 1.541(1.642), LR: 0.000002
[GPU cuda:0][TRAIN] Epoch: [1][1050/3100], Elapsed 5m 26s (remain 10m 36s), Accuracy: 50.000(18.578), Loss: 1.545(1.642), LR: 0.000002
[GPU cuda:0][TRAIN] Epoch: [1][1100/3100], Elapsed 5m 41s (remain 10m 20s), Accuracy: 50.000(18.483), Loss: 1.543(1.643), LR: 0.000002
[GPU cuda:0][TRAIN] Epoch: [1][1150/3100], Elapsed 5m 57s (remain 10m 5s), Accuracy: 0.000(18.571), Loss: 1.637(1.643), LR: 0.000002
