[GPU 0]: Config File
{'id': 36, 'model_name': 'swin_large_patch4_window12_384_in22k', 'dropout': 0.5, 'size': 384, 'batch_size_t': 4, 'batch_size_v': 8, 'n_targets': 5, 'criterion': 'CrossEntropyLoss', 'gradient_accumulation_steps': 1, 'max_gradient_norm': None, 'optimizer': 'RangerLars', 'scheduler': 'OneCycleLR', 'LR': 1e-05, 'T_0': 200, 'T_max': 10, 'T_mult': 2, 'min_lr': 1e-06, 'max_lr': 5e-05, 'no_batches': 3100, 'warmup_epochs': 1, 'cosine_epochs': 14, 'epochs': 15, 'update_per_batch': True, 'num_workers': 4, 'n_folds': 5, 'train_transforms': [HorizontalFlip(always_apply=False, p=0.5), VerticalFlip(always_apply=False, p=0.5), RandomRotate90(always_apply=False, p=0.5)], 'valid_transforms': [], 'observations': None, 'use_swa': True, 'swa_lr': 0.01, 'swa_epoch': 0, 'use_sam': True, 'use_asam': True, 'asam_rho': 0.1, 'print_freq': 50, 'one_fold': True, 'use_apex': True, 'distributed_training': False, 'save_to_log': True}
================================================== Training Fold: 0 ==================================================
[GPU cuda:0][TRAIN] Epoch: [1][0/3100], Elapsed 0m 0s (remain 24m 5s), Accuracy: 0.000(0.000), Loss: 1.683(1.683), LR: 0.000002
[GPU cuda:0][TRAIN] Epoch: [1][50/3100], Elapsed 0m 15s (remain 15m 47s), Accuracy: 25.000(14.706), Loss: 1.607(1.658), LR: 0.000002
[GPU cuda:0][TRAIN] Epoch: [1][100/3100], Elapsed 0m 31s (remain 15m 31s), Accuracy: 25.000(16.337), Loss: 1.497(1.651), LR: 0.000002
[GPU cuda:0][TRAIN] Epoch: [1][150/3100], Elapsed 0m 46s (remain 15m 15s), Accuracy: 25.000(16.391), Loss: 1.457(1.652), LR: 0.000002
[GPU cuda:0][TRAIN] Epoch: [1][200/3100], Elapsed 1m 2s (remain 14m 59s), Accuracy: 0.000(16.667), Loss: 1.652(1.659), LR: 0.000002
[GPU cuda:0][TRAIN] Epoch: [1][250/3100], Elapsed 1m 17s (remain 14m 44s), Accuracy: 25.000(17.032), Loss: 1.726(1.657), LR: 0.000002
[GPU cuda:0][TRAIN] Epoch: [1][300/3100], Elapsed 1m 33s (remain 14m 28s), Accuracy: 25.000(17.110), Loss: 1.528(1.656), LR: 0.000002
[GPU cuda:0][TRAIN] Epoch: [1][350/3100], Elapsed 1m 48s (remain 14m 12s), Accuracy: 50.000(18.091), Loss: 1.570(1.654), LR: 0.000002
[GPU cuda:0][TRAIN] Epoch: [1][400/3100], Elapsed 2m 4s (remain 13m 56s), Accuracy: 0.000(18.204), Loss: 1.887(1.653), LR: 0.000002
[GPU cuda:0][TRAIN] Epoch: [1][450/3100], Elapsed 2m 19s (remain 13m 41s), Accuracy: 75.000(19.069), Loss: 1.463(1.646), LR: 0.000002
[GPU cuda:0][TRAIN] Epoch: [1][500/3100], Elapsed 2m 35s (remain 13m 25s), Accuracy: 25.000(19.012), Loss: 1.738(1.645), LR: 0.000002
[GPU cuda:0][TRAIN] Epoch: [1][550/3100], Elapsed 2m 50s (remain 13m 9s), Accuracy: 0.000(18.920), Loss: 1.843(1.647), LR: 0.000002
