[GPU 0]: Config File
{'id': 37, 'model_name': 'swin_large_patch4_window12_384_in22k', 'dropout': 0.5, 'size': 384, 'batch_size_t': 4, 'batch_size_v': 8, 'n_targets': 5, 'criterion': 'CrossEntropyLoss', 'gradient_accumulation_steps': 1, 'max_gradient_norm': None, 'optimizer': 'RangerLars', 'scheduler': 'OneCycleLR', 'LR': 3e-05, 'T_0': 200, 'T_max': 10, 'T_mult': 2, 'min_lr': 1e-06, 'max_lr': 0.00015000000000000001, 'no_batches': 3100, 'warmup_epochs': 1, 'cosine_epochs': 14, 'epochs': 15, 'update_per_batch': True, 'num_workers': 4, 'n_folds': 5, 'train_transforms': [HorizontalFlip(always_apply=False, p=0.5), VerticalFlip(always_apply=False, p=0.5), RandomRotate90(always_apply=False, p=0.5)], 'valid_transforms': [], 'observations': None, 'use_swa': True, 'swa_lr': 0.01, 'swa_epoch': 0, 'use_sam': True, 'use_asam': True, 'asam_rho': 0.1, 'print_freq': 50, 'one_fold': True, 'use_apex': True, 'distributed_training': False, 'save_to_log': True}
================================================== Training Fold: 0 ==================================================
[GPU cuda:0][TRAIN] Epoch: [1][0/3100], Elapsed 0m 0s (remain 24m 46s), Accuracy: 0.000(0.000), Loss: 1.683(1.683), LR: 0.000006
[GPU cuda:0][TRAIN] Epoch: [1][50/3100], Elapsed 0m 16s (remain 16m 46s), Accuracy: 50.000(15.196), Loss: 1.605(1.658), LR: 0.000006
[GPU cuda:0][TRAIN] Epoch: [1][100/3100], Elapsed 0m 33s (remain 16m 28s), Accuracy: 25.000(16.584), Loss: 1.498(1.650), LR: 0.000006
[GPU cuda:0][TRAIN] Epoch: [1][150/3100], Elapsed 0m 49s (remain 16m 10s), Accuracy: 25.000(16.556), Loss: 1.456(1.651), LR: 0.000006
[GPU cuda:0][TRAIN] Epoch: [1][200/3100], Elapsed 1m 6s (remain 15m 56s), Accuracy: 0.000(17.040), Loss: 1.640(1.656), LR: 0.000006
[GPU cuda:0][TRAIN] Epoch: [1][250/3100], Elapsed 1m 22s (remain 15m 39s), Accuracy: 25.000(17.430), Loss: 1.704(1.654), LR: 0.000006
[GPU cuda:0][TRAIN] Epoch: [1][300/3100], Elapsed 1m 39s (remain 15m 23s), Accuracy: 25.000(17.608), Loss: 1.539(1.651), LR: 0.000006
[GPU cuda:0][TRAIN] Epoch: [1][350/3100], Elapsed 1m 55s (remain 15m 6s), Accuracy: 50.000(18.590), Loss: 1.571(1.648), LR: 0.000006
[GPU cuda:0][TRAIN] Epoch: [1][400/3100], Elapsed 2m 12s (remain 14m 49s), Accuracy: 0.000(18.703), Loss: 1.829(1.646), LR: 0.000006
[GPU cuda:0][TRAIN] Epoch: [1][450/3100], Elapsed 2m 28s (remain 14m 33s), Accuracy: 50.000(19.512), Loss: 1.470(1.640), LR: 0.000006
[GPU cuda:0][TRAIN] Epoch: [1][500/3100], Elapsed 2m 45s (remain 14m 16s), Accuracy: 25.000(19.511), Loss: 1.712(1.639), LR: 0.000006
[GPU cuda:0][TRAIN] Epoch: [1][550/3100], Elapsed 3m 1s (remain 14m 0s), Accuracy: 0.000(19.102), Loss: 1.773(1.639), LR: 0.000007
[GPU cuda:0][TRAIN] Epoch: [1][600/3100], Elapsed 3m 18s (remain 13m 43s), Accuracy: 0.000(18.968), Loss: 1.697(1.638), LR: 0.000007
[GPU cuda:0][TRAIN] Epoch: [1][650/3100], Elapsed 3m 34s (remain 13m 26s), Accuracy: 25.000(19.163), Loss: 1.724(1.636), LR: 0.000007
[GPU cuda:0][TRAIN] Epoch: [1][700/3100], Elapsed 3m 50s (remain 13m 10s), Accuracy: 75.000(19.116), Loss: 1.468(1.635), LR: 0.000007
[GPU cuda:0][TRAIN] Epoch: [1][750/3100], Elapsed 4m 7s (remain 12m 52s), Accuracy: 25.000(19.407), Loss: 1.573(1.633), LR: 0.000007
[GPU cuda:0][TRAIN] Epoch: [1][800/3100], Elapsed 4m 23s (remain 12m 35s), Accuracy: 25.000(19.382), Loss: 1.597(1.632), LR: 0.000007
[GPU cuda:0][TRAIN] Epoch: [1][850/3100], Elapsed 4m 39s (remain 12m 18s), Accuracy: 25.000(19.771), Loss: 1.589(1.630), LR: 0.000007
[GPU cuda:0][TRAIN] Epoch: [1][900/3100], Elapsed 4m 55s (remain 12m 1s), Accuracy: 50.000(19.867), Loss: 1.545(1.629), LR: 0.000007
[GPU cuda:0][TRAIN] Epoch: [1][950/3100], Elapsed 5m 11s (remain 11m 44s), Accuracy: 50.000(20.084), Loss: 1.587(1.628), LR: 0.000008
[GPU cuda:0][TRAIN] Epoch: [1][1000/3100], Elapsed 5m 27s (remain 11m 27s), Accuracy: 50.000(20.554), Loss: 1.543(1.626), LR: 0.000008
[GPU cuda:0][TRAIN] Epoch: [1][1050/3100], Elapsed 5m 44s (remain 11m 11s), Accuracy: 50.000(20.695), Loss: 1.548(1.625), LR: 0.000008
[GPU cuda:0][TRAIN] Epoch: [1][1100/3100], Elapsed 6m 0s (remain 10m 54s), Accuracy: 25.000(20.913), Loss: 1.580(1.625), LR: 0.000008
[GPU cuda:0][TRAIN] Epoch: [1][1150/3100], Elapsed 6m 16s (remain 10m 37s), Accuracy: 0.000(21.112), Loss: 1.724(1.624), LR: 0.000008
[GPU cuda:0][TRAIN] Epoch: [1][1200/3100], Elapsed 6m 33s (remain 10m 21s), Accuracy: 50.000(21.357), Loss: 1.536(1.622), LR: 0.000009
[GPU cuda:0][TRAIN] Epoch: [1][1250/3100], Elapsed 6m 49s (remain 10m 4s), Accuracy: 25.000(21.523), Loss: 1.631(1.621), LR: 0.000009
[GPU cuda:0][TRAIN] Epoch: [1][1300/3100], Elapsed 7m 5s (remain 9m 48s), Accuracy: 0.000(21.945), Loss: 1.708(1.620), LR: 0.000009
[GPU cuda:0][TRAIN] Epoch: [1][1350/3100], Elapsed 7m 21s (remain 9m 31s), Accuracy: 75.000(22.169), Loss: 1.435(1.618), LR: 0.000009
[GPU cuda:0][TRAIN] Epoch: [1][1400/3100], Elapsed 7m 37s (remain 9m 15s), Accuracy: 25.000(22.323), Loss: 1.596(1.617), LR: 0.000010
[GPU cuda:0][TRAIN] Epoch: [1][1450/3100], Elapsed 7m 54s (remain 8m 58s), Accuracy: 25.000(22.484), Loss: 1.397(1.616), LR: 0.000010
[GPU cuda:0][TRAIN] Epoch: [1][1500/3100], Elapsed 8m 10s (remain 8m 42s), Accuracy: 50.000(22.618), Loss: 1.432(1.615), LR: 0.000010
[GPU cuda:0][TRAIN] Epoch: [1][1550/3100], Elapsed 8m 26s (remain 8m 25s), Accuracy: 25.000(22.598), Loss: 1.509(1.614), LR: 0.000010
[GPU cuda:0][TRAIN] Epoch: [1][1600/3100], Elapsed 8m 42s (remain 8m 9s), Accuracy: 50.000(22.954), Loss: 1.490(1.612), LR: 0.000011
[GPU cuda:0][TRAIN] Epoch: [1][1650/3100], Elapsed 8m 58s (remain 7m 52s), Accuracy: 25.000(22.971), Loss: 1.644(1.611), LR: 0.000011
[GPU cuda:0][TRAIN] Epoch: [1][1700/3100], Elapsed 9m 14s (remain 7m 36s), Accuracy: 25.000(23.178), Loss: 1.619(1.610), LR: 0.000011
[GPU cuda:0][TRAIN] Epoch: [1][1750/3100], Elapsed 9m 31s (remain 7m 20s), Accuracy: 50.000(23.272), Loss: 1.526(1.609), LR: 0.000012
[GPU cuda:0][TRAIN] Epoch: [1][1800/3100], Elapsed 9m 47s (remain 7m 3s), Accuracy: 50.000(23.501), Loss: 1.498(1.608), LR: 0.000012
[GPU cuda:0][TRAIN] Epoch: [1][1850/3100], Elapsed 10m 3s (remain 6m 47s), Accuracy: 0.000(23.717), Loss: 1.618(1.606), LR: 0.000012
[GPU cuda:0][TRAIN] Epoch: [1][1900/3100], Elapsed 10m 19s (remain 6m 30s), Accuracy: 25.000(23.961), Loss: 1.601(1.605), LR: 0.000012
[GPU cuda:0][TRAIN] Epoch: [1][1950/3100], Elapsed 10m 36s (remain 6m 14s), Accuracy: 50.000(23.975), Loss: 1.393(1.604), LR: 0.000013
[GPU cuda:0][TRAIN] Epoch: [1][2000/3100], Elapsed 10m 51s (remain 5m 57s), Accuracy: 0.000(24.188), Loss: 1.603(1.603), LR: 0.000013
[GPU cuda:0][TRAIN] Epoch: [1][2050/3100], Elapsed 11m 7s (remain 5m 41s), Accuracy: 50.000(24.427), Loss: 1.468(1.601), LR: 0.000014
[GPU cuda:0][TRAIN] Epoch: [1][2100/3100], Elapsed 11m 23s (remain 5m 25s), Accuracy: 50.000(24.726), Loss: 1.522(1.599), LR: 0.000014
[GPU cuda:0][TRAIN] Epoch: [1][2150/3100], Elapsed 11m 39s (remain 5m 8s), Accuracy: 25.000(25.070), Loss: 1.720(1.597), LR: 0.000014
[GPU cuda:0][TRAIN] Epoch: [1][2200/3100], Elapsed 11m 56s (remain 4m 52s), Accuracy: 0.000(25.250), Loss: 1.670(1.596), LR: 0.000015
[GPU cuda:0][TRAIN] Epoch: [1][2250/3100], Elapsed 12m 12s (remain 4m 36s), Accuracy: 25.000(25.466), Loss: 1.556(1.594), LR: 0.000015
[GPU cuda:0][TRAIN] Epoch: [1][2300/3100], Elapsed 12m 29s (remain 4m 20s), Accuracy: 0.000(25.598), Loss: 1.693(1.593), LR: 0.000015
[GPU cuda:0][TRAIN] Epoch: [1][2350/3100], Elapsed 12m 45s (remain 4m 3s), Accuracy: 25.000(25.766), Loss: 1.665(1.591), LR: 0.000016
[GPU cuda:0][TRAIN] Epoch: [1][2400/3100], Elapsed 13m 2s (remain 3m 47s), Accuracy: 25.000(25.927), Loss: 1.536(1.589), LR: 0.000016
[GPU cuda:0][TRAIN] Epoch: [1][2450/3100], Elapsed 13m 18s (remain 3m 31s), Accuracy: 50.000(26.102), Loss: 1.438(1.587), LR: 0.000017
[GPU cuda:0][TRAIN] Epoch: [1][2500/3100], Elapsed 13m 35s (remain 3m 15s), Accuracy: 0.000(26.319), Loss: 1.717(1.585), LR: 0.000017
[GPU cuda:0][TRAIN] Epoch: [1][2550/3100], Elapsed 13m 51s (remain 2m 58s), Accuracy: 25.000(26.480), Loss: 1.558(1.582), LR: 0.000018
[GPU cuda:0][TRAIN] Epoch: [1][2600/3100], Elapsed 14m 7s (remain 2m 42s), Accuracy: 25.000(26.749), Loss: 1.464(1.579), LR: 0.000018
[GPU cuda:0][TRAIN] Epoch: [1][2650/3100], Elapsed 14m 23s (remain 2m 26s), Accuracy: 0.000(26.914), Loss: 1.614(1.577), LR: 0.000018
[GPU cuda:0][TRAIN] Epoch: [1][2700/3100], Elapsed 14m 40s (remain 2m 10s), Accuracy: 75.000(27.305), Loss: 1.140(1.573), LR: 0.000019
[GPU cuda:0][TRAIN] Epoch: [1][2750/3100], Elapsed 14m 56s (remain 1m 53s), Accuracy: 50.000(27.654), Loss: 1.474(1.569), LR: 0.000019
[GPU cuda:0][TRAIN] Epoch: [1][2800/3100], Elapsed 15m 12s (remain 1m 37s), Accuracy: 0.000(27.847), Loss: 1.629(1.565), LR: 0.000020
[GPU cuda:0][TRAIN] Epoch: [1][2850/3100], Elapsed 15m 28s (remain 1m 21s), Accuracy: 25.000(28.095), Loss: 1.607(1.561), LR: 0.000020
