[GPU 1]: Config File
{'id': 14, 'model_name': 'swin_large_patch4_window12_384_in22k', 'dropout': 0.5, 'size': 384, 'batch_size_t': 5, 'batch_size_v': 32, 'n_targets': 5, 'criterion': 'CrossEntropyLoss', 'gradient_accumulation_steps': 1, 'max_gradient_norm': None, 'optimizer': 'AdamW', 'scheduler': 'CosineAnnealingWarmRestarts', 'LR': 7e-06, 'T_0': 500, 'T_max': 10, 'T_mult': 5, 'min_lr': 1e-06, 'max_lr': 0.0001, 'no_batches': 'NA', 'warmup_epochs': 1, 'cosine_epochs': 14, 'epochs': 15, 'update_per_batch': True, 'num_workers': 4, 'n_folds': 5, 'train_transforms': [], 'valid_transforms': [], 'observations': None, 'use_swa': True, 'swa_lr': 0.01, 'swa_epoch': 0, 'use_sam': True, 'use_asam': True, 'asam_rho': 0.1, 'print_freq': 50, 'one_fold': True, 'use_apex': True, 'distributed_training': False, 'save_to_log': True}
================================================== Training Fold: 0 ==================================================
[GPU cuda:1][TRAIN] Epoch: [1][0/2480], Elapsed 0m 0s (remain 20m 43s), Accuracy: 0.000(0.000), Loss: 1.758(1.758), LR: 0.000007
[GPU cuda:1][TRAIN] Epoch: [1][50/2480], Elapsed 0m 14s (remain 11m 34s), Accuracy: 20.000(19.608), Loss: 1.557(1.642), LR: 0.000007
[GPU cuda:1][TRAIN] Epoch: [1][100/2480], Elapsed 0m 28s (remain 11m 17s), Accuracy: 60.000(21.386), Loss: 1.425(1.617), LR: 0.000006
[GPU cuda:1][TRAIN] Epoch: [1][150/2480], Elapsed 0m 42s (remain 11m 3s), Accuracy: 0.000(22.914), Loss: 1.677(1.608), LR: 0.000006
[GPU cuda:1][TRAIN] Epoch: [1][200/2480], Elapsed 0m 57s (remain 10m 48s), Accuracy: 20.000(23.781), Loss: 1.642(1.597), LR: 0.000005
[GPU cuda:1][TRAIN] Epoch: [1][250/2480], Elapsed 1m 11s (remain 10m 33s), Accuracy: 20.000(25.339), Loss: 1.398(1.583), LR: 0.000004
[GPU cuda:1][TRAIN] Epoch: [1][300/2480], Elapsed 1m 25s (remain 10m 19s), Accuracy: 0.000(27.841), Loss: 1.619(1.563), LR: 0.000003
[GPU cuda:1][TRAIN] Epoch: [1][350/2480], Elapsed 1m 39s (remain 10m 5s), Accuracy: 100.000(29.744), Loss: 0.861(1.538), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][400/2480], Elapsed 1m 54s (remain 9m 51s), Accuracy: 60.000(31.471), Loss: 1.022(1.510), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][450/2480], Elapsed 2m 8s (remain 9m 36s), Accuracy: 40.000(32.195), Loss: 1.172(1.487), LR: 0.000001
[GPU cuda:1][TRAIN] Epoch: [1][500/2480], Elapsed 2m 22s (remain 9m 22s), Accuracy: 40.000(33.253), Loss: 1.441(1.468), LR: 0.000007
