[GPU 1]: Config File
{'id': 28, 'model_name': 'swin_large_patch4_window12_384_in22k', 'dropout': 0.5, 'size': 384, 'batch_size_t': 5, 'batch_size_v': 32, 'n_targets': 5, 'criterion': 'CrossEntropyLoss', 'gradient_accumulation_steps': 1, 'max_gradient_norm': None, 'optimizer': 'AdamW', 'scheduler': 'OneCycleLR', 'LR': 7e-06, 'T_0': 200, 'T_max': 10, 'T_mult': 2, 'min_lr': 1e-06, 'max_lr': 3.5e-05, 'no_batches': 2480, 'warmup_epochs': 1, 'cosine_epochs': 14, 'epochs': 15, 'update_per_batch': True, 'num_workers': 4, 'n_folds': 5, 'train_transforms': [], 'valid_transforms': [], 'observations': None, 'use_swa': True, 'swa_lr': 0.01, 'swa_epoch': 0, 'use_sam': True, 'use_asam': True, 'asam_rho': 0.1, 'print_freq': 50, 'one_fold': True, 'use_apex': True, 'distributed_training': False, 'save_to_log': True}
================================================== Training Fold: 0 ==================================================
[GPU cuda:1][TRAIN] Epoch: [1][0/2480], Elapsed 0m 0s (remain 20m 11s), Accuracy: 0.000(0.000), Loss: 1.758(1.758), LR: 0.000001
[GPU cuda:1][TRAIN] Epoch: [1][50/2480], Elapsed 0m 14s (remain 11m 30s), Accuracy: 40.000(19.216), Loss: 1.571(1.660), LR: 0.000001
[GPU cuda:1][TRAIN] Epoch: [1][100/2480], Elapsed 0m 28s (remain 11m 15s), Accuracy: 20.000(20.198), Loss: 1.540(1.639), LR: 0.000001
[GPU cuda:1][TRAIN] Epoch: [1][150/2480], Elapsed 0m 42s (remain 11m 1s), Accuracy: 0.000(21.457), Loss: 1.634(1.632), LR: 0.000001
[GPU cuda:1][TRAIN] Epoch: [1][200/2480], Elapsed 0m 57s (remain 10m 47s), Accuracy: 20.000(20.995), Loss: 1.644(1.629), LR: 0.000001
[GPU cuda:1][TRAIN] Epoch: [1][250/2480], Elapsed 1m 11s (remain 10m 33s), Accuracy: 0.000(22.311), Loss: 1.566(1.622), LR: 0.000001
[GPU cuda:1][TRAIN] Epoch: [1][300/2480], Elapsed 1m 25s (remain 10m 19s), Accuracy: 20.000(23.256), Loss: 1.603(1.614), LR: 0.000001
[GPU cuda:1][TRAIN] Epoch: [1][350/2480], Elapsed 1m 39s (remain 10m 5s), Accuracy: 40.000(23.761), Loss: 1.517(1.610), LR: 0.000001
[GPU cuda:1][TRAIN] Epoch: [1][400/2480], Elapsed 1m 53s (remain 9m 50s), Accuracy: 20.000(24.140), Loss: 1.535(1.605), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][450/2480], Elapsed 2m 8s (remain 9m 36s), Accuracy: 40.000(24.701), Loss: 1.455(1.602), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][500/2480], Elapsed 2m 22s (remain 9m 22s), Accuracy: 0.000(24.711), Loss: 1.620(1.599), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][550/2480], Elapsed 2m 36s (remain 9m 8s), Accuracy: 40.000(25.917), Loss: 1.502(1.593), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][600/2480], Elapsed 2m 50s (remain 8m 54s), Accuracy: 80.000(26.722), Loss: 1.291(1.586), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][650/2480], Elapsed 3m 5s (remain 8m 39s), Accuracy: 40.000(27.373), Loss: 1.525(1.581), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][700/2480], Elapsed 3m 19s (remain 8m 25s), Accuracy: 40.000(27.932), Loss: 1.477(1.576), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][750/2480], Elapsed 3m 33s (remain 8m 11s), Accuracy: 60.000(28.202), Loss: 1.387(1.572), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][800/2480], Elapsed 3m 47s (remain 7m 57s), Accuracy: 40.000(29.039), Loss: 1.436(1.564), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][850/2480], Elapsed 4m 1s (remain 7m 43s), Accuracy: 20.000(29.918), Loss: 1.751(1.554), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][900/2480], Elapsed 4m 16s (remain 7m 28s), Accuracy: 40.000(30.721), Loss: 1.274(1.544), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][950/2480], Elapsed 4m 30s (remain 7m 14s), Accuracy: 60.000(31.651), Loss: 1.281(1.531), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][1000/2480], Elapsed 4m 44s (remain 7m 0s), Accuracy: 20.000(32.268), Loss: 1.622(1.519), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][1050/2480], Elapsed 4m 58s (remain 6m 46s), Accuracy: 20.000(32.902), Loss: 1.435(1.507), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][1100/2480], Elapsed 5m 13s (remain 6m 32s), Accuracy: 60.000(33.497), Loss: 1.286(1.492), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][1150/2480], Elapsed 5m 27s (remain 6m 17s), Accuracy: 40.000(34.196), Loss: 0.949(1.479), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][1200/2480], Elapsed 5m 41s (remain 6m 3s), Accuracy: 80.000(35.037), Loss: 1.007(1.465), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][1250/2480], Elapsed 5m 55s (remain 5m 49s), Accuracy: 40.000(35.843), Loss: 1.097(1.452), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][1300/2480], Elapsed 6m 9s (remain 5m 35s), Accuracy: 20.000(36.526), Loss: 1.661(1.437), LR: 0.000003
