[GPU 1]: Config File
{'id': 29, 'model_name': 'swin_large_patch4_window12_384_in22k', 'dropout': 0.5, 'size': 384, 'batch_size_t': 5, 'batch_size_v': 24, 'n_targets': 5, 'criterion': 'CrossEntropyLoss', 'gradient_accumulation_steps': 1, 'max_gradient_norm': None, 'optimizer': 'AdamW', 'scheduler': 'OneCycleLR', 'LR': 1e-05, 'T_0': 200, 'T_max': 10, 'T_mult': 2, 'min_lr': 1e-06, 'max_lr': 5e-05, 'no_batches': 2480, 'warmup_epochs': 1, 'cosine_epochs': 14, 'epochs': 15, 'update_per_batch': True, 'num_workers': 4, 'n_folds': 5, 'train_transforms': [], 'valid_transforms': [], 'observations': None, 'use_swa': True, 'swa_lr': 0.01, 'swa_epoch': 0, 'use_sam': True, 'use_asam': True, 'asam_rho': 0.1, 'print_freq': 50, 'one_fold': True, 'use_apex': True, 'distributed_training': False, 'save_to_log': True}
================================================== Training Fold: 0 ==================================================
[GPU cuda:1][TRAIN] Epoch: [1][0/2480], Elapsed 0m 0s (remain 30m 33s), Accuracy: 0.000(0.000), Loss: 1.758(1.758), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][50/2480], Elapsed 0m 14s (remain 11m 20s), Accuracy: 20.000(19.216), Loss: 1.574(1.658), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][100/2480], Elapsed 0m 27s (remain 10m 58s), Accuracy: 20.000(20.792), Loss: 1.492(1.634), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][150/2480], Elapsed 0m 41s (remain 10m 42s), Accuracy: 0.000(22.517), Loss: 1.621(1.625), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][200/2480], Elapsed 0m 55s (remain 10m 28s), Accuracy: 20.000(22.289), Loss: 1.632(1.621), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][250/2480], Elapsed 1m 9s (remain 10m 14s), Accuracy: 0.000(23.267), Loss: 1.555(1.613), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][300/2480], Elapsed 1m 23s (remain 10m 1s), Accuracy: 0.000(23.920), Loss: 1.604(1.605), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][350/2480], Elapsed 1m 36s (remain 9m 47s), Accuracy: 40.000(24.615), Loss: 1.549(1.601), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][400/2480], Elapsed 1m 50s (remain 9m 33s), Accuracy: 40.000(25.287), Loss: 1.468(1.595), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][450/2480], Elapsed 2m 4s (remain 9m 20s), Accuracy: 40.000(26.031), Loss: 1.418(1.589), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][500/2480], Elapsed 2m 18s (remain 9m 6s), Accuracy: 0.000(26.387), Loss: 1.557(1.584), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][550/2480], Elapsed 2m 32s (remain 8m 53s), Accuracy: 40.000(27.514), Loss: 1.406(1.575), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][600/2480], Elapsed 2m 46s (remain 8m 39s), Accuracy: 80.000(28.453), Loss: 1.150(1.565), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][650/2480], Elapsed 3m 0s (remain 8m 26s), Accuracy: 60.000(29.432), Loss: 1.246(1.553), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][700/2480], Elapsed 3m 14s (remain 8m 12s), Accuracy: 60.000(30.185), Loss: 1.286(1.543), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][750/2480], Elapsed 3m 28s (remain 7m 59s), Accuracy: 20.000(30.999), Loss: 1.399(1.531), LR: 0.000003
[GPU cuda:1][TRAIN] Epoch: [1][800/2480], Elapsed 3m 42s (remain 7m 45s), Accuracy: 40.000(32.010), Loss: 1.352(1.514), LR: 0.000003
[GPU cuda:1][TRAIN] Epoch: [1][850/2480], Elapsed 3m 56s (remain 7m 31s), Accuracy: 20.000(33.067), Loss: 1.717(1.495), LR: 0.000003
[GPU cuda:1][TRAIN] Epoch: [1][900/2480], Elapsed 4m 10s (remain 7m 18s), Accuracy: 80.000(34.229), Loss: 1.164(1.476), LR: 0.000003
[GPU cuda:1][TRAIN] Epoch: [1][950/2480], Elapsed 4m 24s (remain 7m 4s), Accuracy: 40.000(35.184), Loss: 1.265(1.457), LR: 0.000003
[GPU cuda:1][TRAIN] Epoch: [1][1000/2480], Elapsed 4m 38s (remain 6m 51s), Accuracy: 20.000(36.024), Loss: 1.452(1.439), LR: 0.000003
[GPU cuda:1][TRAIN] Epoch: [1][1050/2480], Elapsed 4m 52s (remain 6m 37s), Accuracy: 40.000(36.860), Loss: 1.218(1.423), LR: 0.000003
[GPU cuda:1][TRAIN] Epoch: [1][1100/2480], Elapsed 5m 6s (remain 6m 23s), Accuracy: 80.000(37.838), Loss: 1.032(1.402), LR: 0.000003
[GPU cuda:1][TRAIN] Epoch: [1][1150/2480], Elapsed 5m 20s (remain 6m 10s), Accuracy: 60.000(38.471), Loss: 0.830(1.387), LR: 0.000003
[GPU cuda:1][TRAIN] Epoch: [1][1200/2480], Elapsed 5m 34s (remain 5m 56s), Accuracy: 80.000(39.334), Loss: 0.838(1.370), LR: 0.000003
[GPU cuda:1][TRAIN] Epoch: [1][1250/2480], Elapsed 5m 48s (remain 5m 42s), Accuracy: 40.000(40.112), Loss: 1.058(1.355), LR: 0.000003
[GPU cuda:1][TRAIN] Epoch: [1][1300/2480], Elapsed 6m 3s (remain 5m 28s), Accuracy: 20.000(40.922), Loss: 1.794(1.339), LR: 0.000004
[GPU cuda:1][TRAIN] Epoch: [1][1350/2480], Elapsed 6m 17s (remain 5m 15s), Accuracy: 80.000(41.554), Loss: 0.614(1.326), LR: 0.000004
[GPU cuda:1][TRAIN] Epoch: [1][1400/2480], Elapsed 6m 31s (remain 5m 1s), Accuracy: 80.000(42.113), Loss: 0.694(1.317), LR: 0.000004
[GPU cuda:1][TRAIN] Epoch: [1][1450/2480], Elapsed 6m 45s (remain 4m 47s), Accuracy: 60.000(42.798), Loss: 0.962(1.303), LR: 0.000004
[GPU cuda:1][TRAIN] Epoch: [1][1500/2480], Elapsed 6m 59s (remain 4m 33s), Accuracy: 100.000(43.198), Loss: 0.262(1.294), LR: 0.000004
[GPU cuda:1][TRAIN] Epoch: [1][1550/2480], Elapsed 7m 14s (remain 4m 19s), Accuracy: 40.000(43.662), Loss: 1.132(1.283), LR: 0.000004
[GPU cuda:1][TRAIN] Epoch: [1][1600/2480], Elapsed 7m 28s (remain 4m 6s), Accuracy: 80.000(44.235), Loss: 0.714(1.271), LR: 0.000004
[GPU cuda:1][TRAIN] Epoch: [1][1650/2480], Elapsed 7m 42s (remain 3m 52s), Accuracy: 80.000(44.967), Loss: 0.412(1.257), LR: 0.000005
[GPU cuda:1][TRAIN] Epoch: [1][1700/2480], Elapsed 7m 56s (remain 3m 38s), Accuracy: 60.000(45.526), Loss: 0.885(1.247), LR: 0.000005
[GPU cuda:1][TRAIN] Epoch: [1][1750/2480], Elapsed 8m 10s (remain 3m 24s), Accuracy: 20.000(46.042), Loss: 2.470(1.238), LR: 0.000005
[GPU cuda:1][TRAIN] Epoch: [1][1800/2480], Elapsed 8m 25s (remain 3m 10s), Accuracy: 40.000(46.430), Loss: 1.114(1.230), LR: 0.000005
[GPU cuda:1][TRAIN] Epoch: [1][1850/2480], Elapsed 8m 39s (remain 2m 56s), Accuracy: 80.000(46.688), Loss: 0.914(1.223), LR: 0.000005
[GPU cuda:1][TRAIN] Epoch: [1][1900/2480], Elapsed 8m 53s (remain 2m 42s), Accuracy: 60.000(47.070), Loss: 0.647(1.216), LR: 0.000005
[GPU cuda:1][TRAIN] Epoch: [1][1950/2480], Elapsed 9m 7s (remain 2m 28s), Accuracy: 40.000(47.289), Loss: 0.966(1.211), LR: 0.000006
[GPU cuda:1][TRAIN] Epoch: [1][2000/2480], Elapsed 9m 22s (remain 2m 14s), Accuracy: 60.000(47.606), Loss: 1.064(1.203), LR: 0.000006
[GPU cuda:1][TRAIN] Epoch: [1][2050/2480], Elapsed 9m 36s (remain 2m 0s), Accuracy: 20.000(47.791), Loss: 1.421(1.199), LR: 0.000006
[GPU cuda:1][TRAIN] Epoch: [1][2100/2480], Elapsed 9m 50s (remain 1m 46s), Accuracy: 80.000(48.253), Loss: 0.821(1.190), LR: 0.000006
[GPU cuda:1][TRAIN] Epoch: [1][2150/2480], Elapsed 10m 4s (remain 1m 32s), Accuracy: 20.000(48.638), Loss: 1.309(1.182), LR: 0.000006
[GPU cuda:1][TRAIN] Epoch: [1][2200/2480], Elapsed 10m 18s (remain 1m 18s), Accuracy: 60.000(48.969), Loss: 0.756(1.175), LR: 0.000006
[GPU cuda:1][TRAIN] Epoch: [1][2250/2480], Elapsed 10m 33s (remain 1m 4s), Accuracy: 40.000(49.231), Loss: 1.198(1.170), LR: 0.000007
[GPU cuda:1][TRAIN] Epoch: [1][2300/2480], Elapsed 10m 47s (remain 0m 50s), Accuracy: 80.000(49.552), Loss: 0.648(1.163), LR: 0.000007
[GPU cuda:1][TRAIN] Epoch: [1][2350/2480], Elapsed 11m 1s (remain 0m 36s), Accuracy: 80.000(49.732), Loss: 0.794(1.159), LR: 0.000007
[GPU cuda:1][TRAIN] Epoch: [1][2400/2480], Elapsed 11m 15s (remain 0m 22s), Accuracy: 0.000(50.037), Loss: 1.852(1.153), LR: 0.000007
[GPU cuda:1][TRAIN] Epoch: [1][2450/2480], Elapsed 11m 30s (remain 0m 8s), Accuracy: 80.000(50.347), Loss: 0.718(1.147), LR: 0.000007
[GPU cuda:1][TRAIN] Epoch: [1][2479/2480], Elapsed 11m 38s (remain 0m 0s), Accuracy: 40.000(50.524), Loss: 1.731(1.143), LR: 0.000008
[GPU cuda:1][VALID][0/130], Elapsed 0m 1s (remain 2m 32s), Accuracy: 62.500(62.500), Batch Loss: 0.7720, Average Loss: 0.7720
[GPU cuda:1][VALID][50/130], Elapsed 0m 36s (remain 0m 57s), Accuracy: 37.500(67.075), Batch Loss: 1.1268, Average Loss: 0.8052
[GPU cuda:1][VALID][100/130], Elapsed 1m 12s (remain 0m 20s), Accuracy: 62.500(66.337), Batch Loss: 0.8394, Average Loss: 0.8090
[GPU cuda:1][VALID][129/130], Elapsed 1m 33s (remain 0m 0s), Accuracy: 50.000(66.282), Batch Loss: 0.9257, Average Loss: 0.8032
Valid Labels Samples: [2 0 1 4 1 0 3 1 4 3]
Valid Predictions Samples: [2, 0, 1, 4, 1, 0, 4, 2, 3, 0]
Epoch 1 - Train Average Loss: 50.524, Valid Average Loss: 66.282, Epoch Time: 793.572s
Epoch 1 - Accuracy: 0.664, Precision: 0.683, Recall: 0.664
Saved Best Model: 0.66
[GPU cuda:1][TRAIN] Epoch: [2][0/2480], Elapsed 0m 0s (remain 24m 42s), Accuracy: 80.000(80.000), Loss: 0.905(0.905), LR: 0.000008
[GPU cuda:1][TRAIN] Epoch: [2][50/2480], Elapsed 0m 14s (remain 11m 53s), Accuracy: 60.000(69.020), Loss: 0.829(0.768), LR: 0.000008
[GPU cuda:1][TRAIN] Epoch: [2][100/2480], Elapsed 0m 29s (remain 11m 27s), Accuracy: 80.000(63.366), Loss: 0.926(0.872), LR: 0.000008
[GPU cuda:1][TRAIN] Epoch: [2][150/2480], Elapsed 0m 43s (remain 11m 9s), Accuracy: 60.000(62.781), Loss: 1.038(0.885), LR: 0.000008
[GPU cuda:1][TRAIN] Epoch: [2][200/2480], Elapsed 0m 57s (remain 10m 53s), Accuracy: 60.000(62.189), Loss: 0.778(0.897), LR: 0.000009
[GPU cuda:1][TRAIN] Epoch: [2][250/2480], Elapsed 1m 11s (remain 10m 38s), Accuracy: 60.000(62.869), Loss: 0.603(0.884), LR: 0.000009
[GPU cuda:1][TRAIN] Epoch: [2][300/2480], Elapsed 1m 26s (remain 10m 23s), Accuracy: 40.000(62.924), Loss: 1.368(0.877), LR: 0.000009
[GPU cuda:1][TRAIN] Epoch: [2][350/2480], Elapsed 1m 40s (remain 10m 8s), Accuracy: 100.000(62.621), Loss: 0.534(0.886), LR: 0.000009
[GPU cuda:1][TRAIN] Epoch: [2][400/2480], Elapsed 1m 54s (remain 9m 53s), Accuracy: 60.000(62.643), Loss: 0.725(0.882), LR: 0.000009
[GPU cuda:1][TRAIN] Epoch: [2][450/2480], Elapsed 2m 8s (remain 9m 39s), Accuracy: 80.000(63.060), Loss: 0.560(0.877), LR: 0.000010
[GPU cuda:1][TRAIN] Epoch: [2][500/2480], Elapsed 2m 22s (remain 9m 24s), Accuracy: 20.000(63.313), Loss: 1.768(0.873), LR: 0.000010
[GPU cuda:1][TRAIN] Epoch: [2][550/2480], Elapsed 2m 37s (remain 9m 9s), Accuracy: 100.000(63.485), Loss: 0.262(0.879), LR: 0.000010
[GPU cuda:1][TRAIN] Epoch: [2][600/2480], Elapsed 2m 51s (remain 8m 55s), Accuracy: 100.000(63.428), Loss: 0.085(0.877), LR: 0.000010
[GPU cuda:1][TRAIN] Epoch: [2][650/2480], Elapsed 3m 5s (remain 8m 40s), Accuracy: 100.000(63.349), Loss: 0.078(0.873), LR: 0.000011
[GPU cuda:1][TRAIN] Epoch: [2][700/2480], Elapsed 3m 19s (remain 8m 26s), Accuracy: 80.000(62.910), Loss: 0.662(0.882), LR: 0.000011
[GPU cuda:1][TRAIN] Epoch: [2][750/2480], Elapsed 3m 33s (remain 8m 12s), Accuracy: 60.000(62.796), Loss: 0.749(0.886), LR: 0.000011
[GPU cuda:1][TRAIN] Epoch: [2][800/2480], Elapsed 3m 47s (remain 7m 57s), Accuracy: 100.000(63.296), Loss: 0.409(0.879), LR: 0.000012
[GPU cuda:1][TRAIN] Epoch: [2][850/2480], Elapsed 4m 2s (remain 7m 43s), Accuracy: 60.000(63.361), Loss: 0.964(0.873), LR: 0.000012
[GPU cuda:1][TRAIN] Epoch: [2][900/2480], Elapsed 4m 16s (remain 7m 29s), Accuracy: 60.000(63.485), Loss: 1.342(0.869), LR: 0.000012
[GPU cuda:1][TRAIN] Epoch: [2][950/2480], Elapsed 4m 30s (remain 7m 14s), Accuracy: 80.000(63.701), Loss: 0.931(0.864), LR: 0.000012
[GPU cuda:1][TRAIN] Epoch: [2][1000/2480], Elapsed 4m 44s (remain 7m 0s), Accuracy: 20.000(63.337), Loss: 1.115(0.868), LR: 0.000013
[GPU cuda:1][TRAIN] Epoch: [2][1050/2480], Elapsed 4m 58s (remain 6m 46s), Accuracy: 20.000(63.216), Loss: 1.299(0.870), LR: 0.000013
[GPU cuda:1][TRAIN] Epoch: [2][1100/2480], Elapsed 5m 13s (remain 6m 32s), Accuracy: 80.000(63.488), Loss: 0.394(0.864), LR: 0.000013
[GPU cuda:1][TRAIN] Epoch: [2][1150/2480], Elapsed 5m 27s (remain 6m 17s), Accuracy: 60.000(63.562), Loss: 0.892(0.864), LR: 0.000013
[GPU cuda:1][TRAIN] Epoch: [2][1200/2480], Elapsed 5m 41s (remain 6m 3s), Accuracy: 80.000(63.697), Loss: 1.306(0.861), LR: 0.000014
