[GPU 1]: Config File
{'id': 35, 'model_name': 'swin_large_patch4_window12_384_in22k', 'dropout': 0.5, 'size': 384, 'batch_size_t': 5, 'batch_size_v': 8, 'n_targets': 5, 'criterion': 'CrossEntropyLoss', 'gradient_accumulation_steps': 1, 'max_gradient_norm': None, 'optimizer': 'AdamW', 'scheduler': 'OneCycleLR', 'LR': 7e-06, 'T_0': 200, 'T_max': 10, 'T_mult': 2, 'min_lr': 1e-06, 'max_lr': 3.5e-05, 'no_batches': 2480, 'warmup_epochs': 1, 'cosine_epochs': 14, 'epochs': 15, 'update_per_batch': True, 'num_workers': 4, 'n_folds': 5, 'train_transforms': [HorizontalFlip(always_apply=False, p=0.5), VerticalFlip(always_apply=False, p=0.5), RandomRotate90(always_apply=False, p=0.5)], 'valid_transforms': [], 'observations': None, 'use_swa': True, 'swa_lr': 0.01, 'swa_epoch': 0, 'use_sam': True, 'use_asam': True, 'asam_rho': 0.1, 'print_freq': 50, 'one_fold': True, 'use_apex': True, 'distributed_training': False, 'save_to_log': True}
================================================== Training Fold: 0 ==================================================
[GPU cuda:1][TRAIN] Epoch: [1][0/2480], Elapsed 0m 0s (remain 21m 28s), Accuracy: 0.000(0.000), Loss: 1.750(1.750), LR: 0.000001
[GPU cuda:1][TRAIN] Epoch: [1][50/2480], Elapsed 0m 14s (remain 11m 26s), Accuracy: 40.000(16.078), Loss: 1.544(1.670), LR: 0.000001
[GPU cuda:1][TRAIN] Epoch: [1][100/2480], Elapsed 0m 28s (remain 11m 8s), Accuracy: 20.000(19.010), Loss: 1.512(1.645), LR: 0.000001
[GPU cuda:1][TRAIN] Epoch: [1][150/2480], Elapsed 0m 42s (remain 10m 55s), Accuracy: 20.000(19.735), Loss: 1.661(1.639), LR: 0.000001
[GPU cuda:1][TRAIN] Epoch: [1][200/2480], Elapsed 0m 56s (remain 10m 41s), Accuracy: 0.000(19.005), Loss: 1.698(1.635), LR: 0.000001
[GPU cuda:1][TRAIN] Epoch: [1][250/2480], Elapsed 1m 10s (remain 10m 28s), Accuracy: 0.000(20.239), Loss: 1.575(1.627), LR: 0.000001
[GPU cuda:1][TRAIN] Epoch: [1][300/2480], Elapsed 1m 24s (remain 10m 14s), Accuracy: 20.000(21.528), Loss: 1.617(1.618), LR: 0.000001
[GPU cuda:1][TRAIN] Epoch: [1][350/2480], Elapsed 1m 38s (remain 10m 0s), Accuracy: 40.000(22.165), Loss: 1.512(1.614), LR: 0.000001
[GPU cuda:1][TRAIN] Epoch: [1][400/2480], Elapsed 1m 53s (remain 9m 46s), Accuracy: 20.000(22.494), Loss: 1.556(1.610), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][450/2480], Elapsed 2m 7s (remain 9m 32s), Accuracy: 40.000(22.838), Loss: 1.488(1.608), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][500/2480], Elapsed 2m 21s (remain 9m 18s), Accuracy: 0.000(22.994), Loss: 1.635(1.606), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][550/2480], Elapsed 2m 35s (remain 9m 4s), Accuracy: 20.000(23.666), Loss: 1.551(1.601), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][600/2480], Elapsed 2m 49s (remain 8m 50s), Accuracy: 60.000(24.592), Loss: 1.364(1.594), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][650/2480], Elapsed 3m 3s (remain 8m 36s), Accuracy: 20.000(25.346), Loss: 1.534(1.590), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][700/2480], Elapsed 3m 17s (remain 8m 22s), Accuracy: 60.000(25.934), Loss: 1.519(1.586), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][750/2480], Elapsed 3m 31s (remain 8m 8s), Accuracy: 20.000(26.205), Loss: 1.480(1.583), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][800/2480], Elapsed 3m 46s (remain 7m 53s), Accuracy: 40.000(27.041), Loss: 1.495(1.576), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][850/2480], Elapsed 4m 0s (remain 7m 39s), Accuracy: 20.000(27.897), Loss: 1.883(1.570), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][900/2480], Elapsed 4m 14s (remain 7m 25s), Accuracy: 20.000(28.502), Loss: 1.369(1.562), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][950/2480], Elapsed 4m 28s (remain 7m 11s), Accuracy: 40.000(29.401), Loss: 1.427(1.553), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][1000/2480], Elapsed 4m 42s (remain 6m 57s), Accuracy: 0.000(30.130), Loss: 1.577(1.543), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][1050/2480], Elapsed 4m 56s (remain 6m 43s), Accuracy: 20.000(30.923), Loss: 1.557(1.533), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][1100/2480], Elapsed 5m 10s (remain 6m 29s), Accuracy: 40.000(31.571), Loss: 1.383(1.521), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][1150/2480], Elapsed 5m 24s (remain 6m 15s), Accuracy: 60.000(31.990), Loss: 0.994(1.512), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][1200/2480], Elapsed 5m 38s (remain 6m 1s), Accuracy: 100.000(32.556), Loss: 0.922(1.501), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][1250/2480], Elapsed 5m 53s (remain 5m 46s), Accuracy: 40.000(33.205), Loss: 1.178(1.491), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][1300/2480], Elapsed 6m 7s (remain 5m 32s), Accuracy: 20.000(33.805), Loss: 1.512(1.478), LR: 0.000003
[GPU cuda:1][TRAIN] Epoch: [1][1350/2480], Elapsed 6m 21s (remain 5m 18s), Accuracy: 20.000(34.256), Loss: 1.286(1.467), LR: 0.000003
[GPU cuda:1][TRAIN] Epoch: [1][1400/2480], Elapsed 6m 35s (remain 5m 4s), Accuracy: 60.000(34.632), Loss: 0.870(1.457), LR: 0.000003
[GPU cuda:1][TRAIN] Epoch: [1][1450/2480], Elapsed 6m 49s (remain 4m 50s), Accuracy: 60.000(35.217), Loss: 1.048(1.448), LR: 0.000003
[GPU cuda:1][TRAIN] Epoch: [1][1500/2480], Elapsed 7m 3s (remain 4m 36s), Accuracy: 100.000(35.630), Loss: 0.569(1.437), LR: 0.000003
[GPU cuda:1][TRAIN] Epoch: [1][1550/2480], Elapsed 7m 17s (remain 4m 22s), Accuracy: 20.000(36.054), Loss: 1.425(1.427), LR: 0.000003
[GPU cuda:1][TRAIN] Epoch: [1][1600/2480], Elapsed 7m 32s (remain 4m 8s), Accuracy: 100.000(36.627), Loss: 0.823(1.416), LR: 0.000003
[GPU cuda:1][TRAIN] Epoch: [1][1650/2480], Elapsed 7m 46s (remain 3m 54s), Accuracy: 60.000(37.262), Loss: 0.709(1.402), LR: 0.000003
[GPU cuda:1][TRAIN] Epoch: [1][1700/2480], Elapsed 8m 0s (remain 3m 39s), Accuracy: 60.000(37.766), Loss: 0.850(1.390), LR: 0.000003
[GPU cuda:1][TRAIN] Epoch: [1][1750/2480], Elapsed 8m 14s (remain 3m 25s), Accuracy: 20.000(38.310), Loss: 2.009(1.381), LR: 0.000003
[GPU cuda:1][TRAIN] Epoch: [1][1800/2480], Elapsed 8m 28s (remain 3m 11s), Accuracy: 60.000(38.801), Loss: 0.962(1.371), LR: 0.000004
[GPU cuda:1][TRAIN] Epoch: [1][1850/2480], Elapsed 8m 42s (remain 2m 57s), Accuracy: 80.000(39.136), Loss: 0.994(1.362), LR: 0.000004
[GPU cuda:1][TRAIN] Epoch: [1][1900/2480], Elapsed 8m 56s (remain 2m 43s), Accuracy: 60.000(39.548), Loss: 0.815(1.354), LR: 0.000004
[GPU cuda:1][TRAIN] Epoch: [1][1950/2480], Elapsed 9m 11s (remain 2m 29s), Accuracy: 60.000(39.785), Loss: 1.057(1.350), LR: 0.000004
[GPU cuda:1][TRAIN] Epoch: [1][2000/2480], Elapsed 9m 25s (remain 2m 15s), Accuracy: 20.000(40.280), Loss: 1.251(1.341), LR: 0.000004
[GPU cuda:1][TRAIN] Epoch: [1][2050/2480], Elapsed 9m 39s (remain 2m 1s), Accuracy: 20.000(40.527), Loss: 1.588(1.335), LR: 0.000004
[GPU cuda:1][TRAIN] Epoch: [1][2100/2480], Elapsed 9m 53s (remain 1m 47s), Accuracy: 40.000(41.009), Loss: 1.151(1.326), LR: 0.000004
[GPU cuda:1][TRAIN] Epoch: [1][2150/2480], Elapsed 10m 7s (remain 1m 32s), Accuracy: 40.000(41.497), Loss: 1.334(1.318), LR: 0.000004
[GPU cuda:1][TRAIN] Epoch: [1][2200/2480], Elapsed 10m 21s (remain 1m 18s), Accuracy: 80.000(41.836), Loss: 0.875(1.310), LR: 0.000005
[GPU cuda:1][TRAIN] Epoch: [1][2250/2480], Elapsed 10m 36s (remain 1m 4s), Accuracy: 40.000(42.106), Loss: 1.237(1.304), LR: 0.000005
