[GPU 1]: Config File
{'id': 36, 'model_name': 'swin_large_patch4_window12_384_in22k', 'dropout': 0.5, 'size': 384, 'batch_size_t': 5, 'batch_size_v': 8, 'n_targets': 5, 'criterion': 'CrossEntropyLoss', 'gradient_accumulation_steps': 1, 'max_gradient_norm': None, 'optimizer': 'AdamW', 'scheduler': 'OneCycleLR', 'LR': 1e-05, 'T_0': 200, 'T_max': 10, 'T_mult': 2, 'min_lr': 1e-06, 'max_lr': 5e-05, 'no_batches': 2480, 'warmup_epochs': 1, 'cosine_epochs': 14, 'epochs': 15, 'update_per_batch': True, 'num_workers': 4, 'n_folds': 5, 'train_transforms': [HorizontalFlip(always_apply=False, p=0.5), VerticalFlip(always_apply=False, p=0.5), RandomRotate90(always_apply=False, p=0.5)], 'valid_transforms': [], 'observations': None, 'use_swa': True, 'swa_lr': 0.01, 'swa_epoch': 0, 'use_sam': True, 'use_asam': True, 'asam_rho': 0.1, 'print_freq': 50, 'one_fold': True, 'use_apex': True, 'distributed_training': False, 'save_to_log': True}
================================================== Training Fold: 0 ==================================================
[GPU cuda:1][TRAIN] Epoch: [1][0/2480], Elapsed 0m 0s (remain 21m 31s), Accuracy: 0.000(0.000), Loss: 1.750(1.750), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][50/2480], Elapsed 0m 14s (remain 11m 30s), Accuracy: 20.000(16.863), Loss: 1.535(1.661), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][100/2480], Elapsed 0m 28s (remain 11m 14s), Accuracy: 40.000(19.208), Loss: 1.497(1.636), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][150/2480], Elapsed 0m 42s (remain 11m 0s), Accuracy: 20.000(20.927), Loss: 1.665(1.629), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][200/2480], Elapsed 0m 56s (remain 10m 45s), Accuracy: 0.000(20.498), Loss: 1.676(1.624), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][250/2480], Elapsed 1m 11s (remain 10m 31s), Accuracy: 20.000(21.912), Loss: 1.568(1.616), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][300/2480], Elapsed 1m 25s (remain 10m 17s), Accuracy: 0.000(22.924), Loss: 1.643(1.609), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][350/2480], Elapsed 1m 39s (remain 10m 3s), Accuracy: 20.000(23.305), Loss: 1.577(1.606), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][400/2480], Elapsed 1m 53s (remain 9m 48s), Accuracy: 40.000(24.090), Loss: 1.475(1.602), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][450/2480], Elapsed 2m 7s (remain 9m 34s), Accuracy: 60.000(24.789), Loss: 1.428(1.598), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][500/2480], Elapsed 2m 21s (remain 9m 20s), Accuracy: 20.000(25.309), Loss: 1.600(1.594), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][550/2480], Elapsed 2m 36s (remain 9m 6s), Accuracy: 40.000(25.953), Loss: 1.426(1.587), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][600/2480], Elapsed 2m 50s (remain 8m 52s), Accuracy: 100.000(26.922), Loss: 1.291(1.579), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][650/2480], Elapsed 3m 4s (remain 8m 37s), Accuracy: 20.000(27.865), Loss: 1.481(1.571), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][700/2480], Elapsed 3m 18s (remain 8m 23s), Accuracy: 40.000(28.559), Loss: 1.380(1.562), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][750/2480], Elapsed 3m 32s (remain 8m 9s), Accuracy: 20.000(29.188), Loss: 1.442(1.553), LR: 0.000003
[GPU cuda:1][TRAIN] Epoch: [1][800/2480], Elapsed 3m 46s (remain 7m 55s), Accuracy: 40.000(30.162), Loss: 1.334(1.540), LR: 0.000003
[GPU cuda:1][TRAIN] Epoch: [1][850/2480], Elapsed 4m 0s (remain 7m 41s), Accuracy: 0.000(31.140), Loss: 1.894(1.525), LR: 0.000003
[GPU cuda:1][TRAIN] Epoch: [1][900/2480], Elapsed 4m 15s (remain 7m 26s), Accuracy: 40.000(31.987), Loss: 1.417(1.510), LR: 0.000003
[GPU cuda:1][TRAIN] Epoch: [1][950/2480], Elapsed 4m 29s (remain 7m 12s), Accuracy: 40.000(32.850), Loss: 1.328(1.493), LR: 0.000003
[GPU cuda:1][TRAIN] Epoch: [1][1000/2480], Elapsed 4m 43s (remain 6m 58s), Accuracy: 20.000(33.487), Loss: 1.459(1.477), LR: 0.000003
[GPU cuda:1][TRAIN] Epoch: [1][1050/2480], Elapsed 4m 57s (remain 6m 44s), Accuracy: 20.000(34.253), Loss: 1.497(1.463), LR: 0.000003
[GPU cuda:1][TRAIN] Epoch: [1][1100/2480], Elapsed 5m 11s (remain 6m 30s), Accuracy: 60.000(35.186), Loss: 1.067(1.445), LR: 0.000003
[GPU cuda:1][TRAIN] Epoch: [1][1150/2480], Elapsed 5m 25s (remain 6m 15s), Accuracy: 60.000(35.725), Loss: 0.851(1.433), LR: 0.000003
[GPU cuda:1][TRAIN] Epoch: [1][1200/2480], Elapsed 5m 39s (remain 6m 1s), Accuracy: 60.000(36.553), Loss: 1.033(1.418), LR: 0.000003
[GPU cuda:1][TRAIN] Epoch: [1][1250/2480], Elapsed 5m 53s (remain 5m 47s), Accuracy: 40.000(37.154), Loss: 0.966(1.407), LR: 0.000003
[GPU cuda:1][TRAIN] Epoch: [1][1300/2480], Elapsed 6m 7s (remain 5m 33s), Accuracy: 40.000(37.771), Loss: 1.415(1.392), LR: 0.000004
[GPU cuda:1][TRAIN] Epoch: [1][1350/2480], Elapsed 6m 22s (remain 5m 19s), Accuracy: 40.000(38.238), Loss: 1.022(1.381), LR: 0.000004
[GPU cuda:1][TRAIN] Epoch: [1][1400/2480], Elapsed 6m 36s (remain 5m 5s), Accuracy: 60.000(38.815), Loss: 0.744(1.371), LR: 0.000004
[GPU cuda:1][TRAIN] Epoch: [1][1450/2480], Elapsed 6m 50s (remain 4m 51s), Accuracy: 60.000(39.242), Loss: 0.996(1.362), LR: 0.000004
[GPU cuda:1][TRAIN] Epoch: [1][1500/2480], Elapsed 7m 4s (remain 4m 36s), Accuracy: 100.000(39.773), Loss: 0.365(1.352), LR: 0.000004
[GPU cuda:1][TRAIN] Epoch: [1][1550/2480], Elapsed 7m 18s (remain 4m 22s), Accuracy: 20.000(40.219), Loss: 1.287(1.343), LR: 0.000004
[GPU cuda:1][TRAIN] Epoch: [1][1600/2480], Elapsed 7m 32s (remain 4m 8s), Accuracy: 60.000(40.800), Loss: 1.165(1.333), LR: 0.000004
[GPU cuda:1][TRAIN] Epoch: [1][1650/2480], Elapsed 7m 46s (remain 3m 54s), Accuracy: 60.000(41.502), Loss: 0.791(1.319), LR: 0.000005
[GPU cuda:1][TRAIN] Epoch: [1][1700/2480], Elapsed 8m 1s (remain 3m 40s), Accuracy: 60.000(42.011), Loss: 0.906(1.309), LR: 0.000005
[GPU cuda:1][TRAIN] Epoch: [1][1750/2480], Elapsed 8m 15s (remain 3m 26s), Accuracy: 20.000(42.490), Loss: 2.235(1.300), LR: 0.000005
[GPU cuda:1][TRAIN] Epoch: [1][1800/2480], Elapsed 8m 29s (remain 3m 11s), Accuracy: 60.000(42.887), Loss: 1.085(1.292), LR: 0.000005
[GPU cuda:1][TRAIN] Epoch: [1][1850/2480], Elapsed 8m 43s (remain 2m 57s), Accuracy: 80.000(43.155), Loss: 0.929(1.285), LR: 0.000005
[GPU cuda:1][TRAIN] Epoch: [1][1900/2480], Elapsed 8m 57s (remain 2m 43s), Accuracy: 60.000(43.524), Loss: 0.663(1.277), LR: 0.000005
[GPU cuda:1][TRAIN] Epoch: [1][1950/2480], Elapsed 9m 11s (remain 2m 29s), Accuracy: 60.000(43.731), Loss: 0.902(1.274), LR: 0.000006
[GPU cuda:1][TRAIN] Epoch: [1][2000/2480], Elapsed 9m 25s (remain 2m 15s), Accuracy: 40.000(44.148), Loss: 1.149(1.266), LR: 0.000006
[GPU cuda:1][TRAIN] Epoch: [1][2050/2480], Elapsed 9m 39s (remain 2m 1s), Accuracy: 40.000(44.359), Loss: 1.485(1.261), LR: 0.000006
[GPU cuda:1][TRAIN] Epoch: [1][2100/2480], Elapsed 9m 53s (remain 1m 47s), Accuracy: 60.000(44.836), Loss: 0.877(1.252), LR: 0.000006
[GPU cuda:1][TRAIN] Epoch: [1][2150/2480], Elapsed 10m 8s (remain 1m 33s), Accuracy: 60.000(45.244), Loss: 1.378(1.244), LR: 0.000006
[GPU cuda:1][TRAIN] Epoch: [1][2200/2480], Elapsed 10m 22s (remain 1m 18s), Accuracy: 80.000(45.516), Loss: 0.769(1.236), LR: 0.000006
[GPU cuda:1][TRAIN] Epoch: [1][2250/2480], Elapsed 10m 36s (remain 1m 4s), Accuracy: 40.000(45.802), Loss: 1.307(1.231), LR: 0.000007
[GPU cuda:1][TRAIN] Epoch: [1][2300/2480], Elapsed 10m 50s (remain 0m 50s), Accuracy: 60.000(46.067), Loss: 0.853(1.224), LR: 0.000007
[GPU cuda:1][TRAIN] Epoch: [1][2350/2480], Elapsed 11m 4s (remain 0m 36s), Accuracy: 80.000(46.304), Loss: 0.858(1.219), LR: 0.000007
[GPU cuda:1][TRAIN] Epoch: [1][2400/2480], Elapsed 11m 18s (remain 0m 22s), Accuracy: 20.000(46.639), Loss: 1.291(1.212), LR: 0.000007
[GPU cuda:1][TRAIN] Epoch: [1][2450/2480], Elapsed 11m 32s (remain 0m 8s), Accuracy: 80.000(46.993), Loss: 0.777(1.205), LR: 0.000007
[GPU cuda:1][TRAIN] Epoch: [1][2479/2480], Elapsed 11m 41s (remain 0m 0s), Accuracy: 40.000(47.121), Loss: 1.881(1.203), LR: 0.000008
[GPU cuda:1][VALID][0/388], Elapsed 0m 0s (remain 3m 18s), Accuracy: 62.500(62.500), Batch Loss: 0.8007, Average Loss: 0.8007
[GPU cuda:1][VALID][50/388], Elapsed 0m 12s (remain 1m 22s), Accuracy: 62.500(63.725), Batch Loss: 0.8762, Average Loss: 0.8524
[GPU cuda:1][VALID][100/388], Elapsed 0m 24s (remain 1m 10s), Accuracy: 37.500(61.510), Batch Loss: 1.2753, Average Loss: 0.8690
[GPU cuda:1][VALID][150/388], Elapsed 0m 36s (remain 0m 57s), Accuracy: 37.500(60.513), Batch Loss: 1.2669, Average Loss: 0.8937
[GPU cuda:1][VALID][200/388], Elapsed 0m 49s (remain 0m 45s), Accuracy: 75.000(59.826), Batch Loss: 0.6294, Average Loss: 0.9026
[GPU cuda:1][VALID][250/388], Elapsed 1m 1s (remain 0m 33s), Accuracy: 50.000(59.761), Batch Loss: 1.3414, Average Loss: 0.9066
[GPU cuda:1][VALID][300/388], Elapsed 1m 13s (remain 0m 21s), Accuracy: 50.000(59.551), Batch Loss: 1.1462, Average Loss: 0.9073
[GPU cuda:1][VALID][350/388], Elapsed 1m 25s (remain 0m 9s), Accuracy: 62.500(59.615), Batch Loss: 0.7991, Average Loss: 0.9037
