[GPU 1]: Config File
{'id': 16, 'model_name': 'swin_large_patch4_window12_384_in22k', 'dropout': 0.5, 'size': 384, 'batch_size_t': 4, 'batch_size_v': 8, 'n_targets': 5, 'criterion': 'CrossEntropyLoss', 'gradient_accumulation_steps': 1, 'max_gradient_norm': None, 'optimizer': 'AdamW', 'scheduler': 'OneCycleLR', 'LR': 8e-05, 'T_0': 200, 'T_max': 10, 'T_mult': 2, 'min_lr': 1e-06, 'max_lr': 8e-05, 'no_batches': 3100, 'warmup_epochs': 1, 'cosine_epochs': 11, 'epochs': 12, 'update_per_batch': True, 'num_workers': 4, 'n_folds': 5, 'train_transforms': [], 'valid_transforms': [], 'observations': None, 'use_swa': True, 'swa_lr': 0.01, 'swa_epoch': [7, 8, 9, 10, 11, 12], 'use_sam': True, 'use_asam': True, 'asam_rho': 0.1, 'print_freq': 50, 'one_fold': True, 'use_apex': True, 'distributed_training': False, 'save_to_log': True}
================================================== Training Fold: 0 ==================================================
[GPU cuda:1][TRAIN] Epoch: [1][0/3100], Elapsed 0m 0s (remain 23m 2s), Accuracy: 0.000(0.000), Loss: 1.718(1.718), LR: 0.000003
[GPU cuda:1][TRAIN] Epoch: [1][50/3100], Elapsed 0m 12s (remain 12m 13s), Accuracy: 25.000(17.647), Loss: 1.505(1.649), LR: 0.000003
[GPU cuda:1][TRAIN] Epoch: [1][100/3100], Elapsed 0m 24s (remain 11m 58s), Accuracy: 25.000(22.277), Loss: 1.569(1.626), LR: 0.000003
[GPU cuda:1][TRAIN] Epoch: [1][150/3100], Elapsed 0m 36s (remain 11m 45s), Accuracy: 50.000(24.172), Loss: 1.428(1.618), LR: 0.000003
[GPU cuda:1][TRAIN] Epoch: [1][200/3100], Elapsed 0m 48s (remain 11m 32s), Accuracy: 25.000(25.498), Loss: 1.501(1.607), LR: 0.000003
[GPU cuda:1][TRAIN] Epoch: [1][250/3100], Elapsed 0m 59s (remain 11m 20s), Accuracy: 50.000(26.195), Loss: 1.539(1.603), LR: 0.000003
[GPU cuda:1][TRAIN] Epoch: [1][300/3100], Elapsed 1m 11s (remain 11m 8s), Accuracy: 0.000(26.827), Loss: 1.688(1.592), LR: 0.000003
[GPU cuda:1][TRAIN] Epoch: [1][350/3100], Elapsed 1m 23s (remain 10m 56s), Accuracy: 25.000(26.923), Loss: 1.482(1.588), LR: 0.000003
[GPU cuda:1][TRAIN] Epoch: [1][400/3100], Elapsed 1m 35s (remain 10m 44s), Accuracy: 25.000(27.868), Loss: 1.649(1.579), LR: 0.000003
[GPU cuda:1][TRAIN] Epoch: [1][450/3100], Elapsed 1m 47s (remain 10m 32s), Accuracy: 75.000(29.379), Loss: 1.237(1.565), LR: 0.000004
[GPU cuda:1][TRAIN] Epoch: [1][500/3100], Elapsed 1m 59s (remain 10m 20s), Accuracy: 50.000(30.090), Loss: 1.507(1.555), LR: 0.000004
[GPU cuda:1][TRAIN] Epoch: [1][550/3100], Elapsed 2m 11s (remain 10m 8s), Accuracy: 25.000(30.989), Loss: 1.495(1.538), LR: 0.000004
[GPU cuda:1][TRAIN] Epoch: [1][600/3100], Elapsed 2m 23s (remain 9m 56s), Accuracy: 25.000(31.947), Loss: 1.179(1.518), LR: 0.000004
[GPU cuda:1][TRAIN] Epoch: [1][650/3100], Elapsed 2m 35s (remain 9m 44s), Accuracy: 50.000(32.642), Loss: 1.045(1.500), LR: 0.000004
[GPU cuda:1][TRAIN] Epoch: [1][700/3100], Elapsed 2m 47s (remain 9m 32s), Accuracy: 75.000(33.738), Loss: 0.954(1.481), LR: 0.000004
[GPU cuda:1][TRAIN] Epoch: [1][750/3100], Elapsed 2m 59s (remain 9m 20s), Accuracy: 75.000(34.987), Loss: 0.592(1.461), LR: 0.000004
[GPU cuda:1][TRAIN] Epoch: [1][800/3100], Elapsed 3m 11s (remain 9m 8s), Accuracy: 75.000(36.049), Loss: 1.178(1.443), LR: 0.000004
[GPU cuda:1][TRAIN] Epoch: [1][850/3100], Elapsed 3m 22s (remain 8m 56s), Accuracy: 50.000(37.162), Loss: 0.973(1.424), LR: 0.000004
