[GPU 1]: Config File
{'id': 17, 'model_name': 'swin_large_patch4_window12_384_in22k', 'dropout': 0.5, 'size': 384, 'batch_size_t': 4, 'batch_size_v': 8, 'n_targets': 5, 'criterion': 'CrossEntropyLoss', 'gradient_accumulation_steps': 1, 'max_gradient_norm': None, 'optimizer': 'AdamW', 'scheduler': 'OneCycleLR', 'LR': 0.0001, 'T_0': 200, 'T_max': 10, 'T_mult': 2, 'min_lr': 1e-06, 'max_lr': 0.0001, 'no_batches': 3100, 'warmup_epochs': 1, 'cosine_epochs': 11, 'epochs': 12, 'update_per_batch': True, 'num_workers': 4, 'n_folds': 5, 'train_transforms': [], 'valid_transforms': [], 'observations': None, 'use_swa': True, 'swa_lr': 0.01, 'swa_epoch': [7, 8, 9, 10, 11, 12], 'use_sam': True, 'use_asam': True, 'asam_rho': 0.1, 'print_freq': 50, 'one_fold': True, 'use_apex': True, 'distributed_training': False, 'save_to_log': True}
================================================== Training Fold: 0 ==================================================
[GPU cuda:1][TRAIN] Epoch: [1][0/3100], Elapsed 0m 0s (remain 23m 28s), Accuracy: 0.000(0.000), Loss: 1.718(1.718), LR: 0.000004
[GPU cuda:1][TRAIN] Epoch: [1][50/3100], Elapsed 0m 12s (remain 12m 15s), Accuracy: 25.000(16.176), Loss: 1.524(1.650), LR: 0.000004
[GPU cuda:1][TRAIN] Epoch: [1][100/3100], Elapsed 0m 24s (remain 11m 57s), Accuracy: 25.000(21.535), Loss: 1.563(1.625), LR: 0.000004
[GPU cuda:1][TRAIN] Epoch: [1][150/3100], Elapsed 0m 36s (remain 11m 44s), Accuracy: 50.000(23.675), Loss: 1.433(1.615), LR: 0.000004
[GPU cuda:1][TRAIN] Epoch: [1][200/3100], Elapsed 0m 47s (remain 11m 32s), Accuracy: 50.000(24.751), Loss: 1.436(1.602), LR: 0.000004
[GPU cuda:1][TRAIN] Epoch: [1][250/3100], Elapsed 0m 59s (remain 11m 19s), Accuracy: 25.000(25.100), Loss: 1.559(1.597), LR: 0.000004
[GPU cuda:1][TRAIN] Epoch: [1][300/3100], Elapsed 1m 11s (remain 11m 7s), Accuracy: 0.000(26.412), Loss: 1.721(1.585), LR: 0.000004
[GPU cuda:1][TRAIN] Epoch: [1][350/3100], Elapsed 1m 23s (remain 10m 55s), Accuracy: 75.000(26.709), Loss: 1.353(1.577), LR: 0.000004
[GPU cuda:1][TRAIN] Epoch: [1][400/3100], Elapsed 1m 35s (remain 10m 43s), Accuracy: 25.000(27.556), Loss: 1.591(1.562), LR: 0.000004
[GPU cuda:1][TRAIN] Epoch: [1][450/3100], Elapsed 1m 47s (remain 10m 31s), Accuracy: 75.000(29.379), Loss: 0.987(1.536), LR: 0.000004
[GPU cuda:1][TRAIN] Epoch: [1][500/3100], Elapsed 1m 59s (remain 10m 19s), Accuracy: 50.000(30.389), Loss: 1.248(1.518), LR: 0.000004
[GPU cuda:1][TRAIN] Epoch: [1][550/3100], Elapsed 2m 11s (remain 10m 7s), Accuracy: 25.000(31.942), Loss: 1.335(1.491), LR: 0.000005
[GPU cuda:1][TRAIN] Epoch: [1][600/3100], Elapsed 2m 23s (remain 9m 55s), Accuracy: 25.000(33.236), Loss: 1.123(1.464), LR: 0.000005
