[GPU 1]: Config File
{'id': 3, 'model_name': 'swin_large_patch4_window12_384_in22k', 'dropout': 0.5, 'size': 384, 'batch_size_t': 4, 'batch_size_v': 8, 'n_targets': 5, 'criterion': 'CrossEntropyLoss', 'gradient_accumulation_steps': 1, 'max_gradient_norm': None, 'optimizer': 'Adam', 'scheduler': 'OneCycleLR', 'LR': 1e-05, 'T_0': 200, 'T_max': 10, 'T_mult': 2, 'min_lr': 1e-06, 'max_lr': 1e-05, 'no_batches': 3100, 'warmup_epochs': 1, 'cosine_epochs': 11, 'epochs': 12, 'update_per_batch': True, 'num_workers': 4, 'n_folds': 5, 'train_transforms': [], 'valid_transforms': [], 'observations': None, 'use_swa': True, 'swa_lr': 0.01, 'swa_epoch': [7, 8, 9, 10, 11, 12], 'use_sam': True, 'use_asam': True, 'asam_rho': 0.1, 'print_freq': 50, 'one_fold': True, 'use_apex': True, 'distributed_training': False, 'save_to_log': True}
================================================== Training Fold: 0 ==================================================
[GPU cuda:1][TRAIN] Epoch: [1][0/3100], Elapsed 0m 0s (remain 23m 41s), Accuracy: 0.000(0.000), Loss: 1.718(1.718), LR: 0.000000
[GPU cuda:1][TRAIN] Epoch: [1][50/3100], Elapsed 0m 12s (remain 12m 0s), Accuracy: 50.000(15.196), Loss: 1.549(1.661), LR: 0.000000
[GPU cuda:1][TRAIN] Epoch: [1][100/3100], Elapsed 0m 23s (remain 11m 45s), Accuracy: 50.000(16.337), Loss: 1.492(1.649), LR: 0.000000
[GPU cuda:1][TRAIN] Epoch: [1][150/3100], Elapsed 0m 35s (remain 11m 33s), Accuracy: 25.000(17.219), Loss: 1.499(1.644), LR: 0.000000
[GPU cuda:1][TRAIN] Epoch: [1][200/3100], Elapsed 0m 47s (remain 11m 21s), Accuracy: 50.000(17.413), Loss: 1.522(1.646), LR: 0.000000
[GPU cuda:1][TRAIN] Epoch: [1][250/3100], Elapsed 0m 58s (remain 11m 9s), Accuracy: 25.000(16.932), Loss: 1.655(1.643), LR: 0.000000
[GPU cuda:1][TRAIN] Epoch: [1][300/3100], Elapsed 1m 10s (remain 10m 57s), Accuracy: 25.000(17.774), Loss: 1.661(1.640), LR: 0.000000
[GPU cuda:1][TRAIN] Epoch: [1][350/3100], Elapsed 1m 22s (remain 10m 45s), Accuracy: 50.000(18.305), Loss: 1.650(1.638), LR: 0.000000
[GPU cuda:1][TRAIN] Epoch: [1][400/3100], Elapsed 1m 34s (remain 10m 33s), Accuracy: 0.000(18.142), Loss: 1.786(1.635), LR: 0.000000
[GPU cuda:1][TRAIN] Epoch: [1][450/3100], Elapsed 1m 45s (remain 10m 21s), Accuracy: 50.000(18.958), Loss: 1.484(1.630), LR: 0.000000
[GPU cuda:1][TRAIN] Epoch: [1][500/3100], Elapsed 1m 57s (remain 10m 9s), Accuracy: 25.000(19.012), Loss: 1.652(1.628), LR: 0.000000
[GPU cuda:1][TRAIN] Epoch: [1][550/3100], Elapsed 2m 9s (remain 9m 58s), Accuracy: 0.000(19.283), Loss: 1.654(1.625), LR: 0.000000
[GPU cuda:1][TRAIN] Epoch: [1][600/3100], Elapsed 2m 21s (remain 9m 46s), Accuracy: 0.000(19.384), Loss: 1.621(1.624), LR: 0.000000
[GPU cuda:1][TRAIN] Epoch: [1][650/3100], Elapsed 2m 32s (remain 9m 34s), Accuracy: 25.000(19.816), Loss: 1.671(1.622), LR: 0.000000
[GPU cuda:1][TRAIN] Epoch: [1][700/3100], Elapsed 2m 44s (remain 9m 22s), Accuracy: 75.000(20.150), Loss: 1.434(1.620), LR: 0.000000
[GPU cuda:1][TRAIN] Epoch: [1][750/3100], Elapsed 2m 56s (remain 9m 11s), Accuracy: 50.000(20.939), Loss: 1.514(1.617), LR: 0.000001
[GPU cuda:1][TRAIN] Epoch: [1][800/3100], Elapsed 3m 7s (remain 8m 59s), Accuracy: 25.000(21.317), Loss: 1.522(1.615), LR: 0.000001
[GPU cuda:1][TRAIN] Epoch: [1][850/3100], Elapsed 3m 19s (remain 8m 47s), Accuracy: 25.000(21.798), Loss: 1.556(1.613), LR: 0.000001
[GPU cuda:1][TRAIN] Epoch: [1][900/3100], Elapsed 3m 31s (remain 8m 35s), Accuracy: 50.000(21.865), Loss: 1.537(1.613), LR: 0.000001
[GPU cuda:1][TRAIN] Epoch: [1][950/3100], Elapsed 3m 43s (remain 8m 24s), Accuracy: 25.000(22.082), Loss: 1.544(1.613), LR: 0.000001
[GPU cuda:1][TRAIN] Epoch: [1][1000/3100], Elapsed 3m 54s (remain 8m 12s), Accuracy: 50.000(22.677), Loss: 1.581(1.611), LR: 0.000001
[GPU cuda:1][TRAIN] Epoch: [1][1050/3100], Elapsed 4m 6s (remain 8m 0s), Accuracy: 0.000(22.954), Loss: 1.607(1.609), LR: 0.000001
[GPU cuda:1][TRAIN] Epoch: [1][1100/3100], Elapsed 4m 18s (remain 7m 49s), Accuracy: 0.000(23.229), Loss: 1.626(1.607), LR: 0.000001
[GPU cuda:1][TRAIN] Epoch: [1][1150/3100], Elapsed 4m 30s (remain 7m 37s), Accuracy: 25.000(23.566), Loss: 1.654(1.606), LR: 0.000001
[GPU cuda:1][TRAIN] Epoch: [1][1200/3100], Elapsed 4m 41s (remain 7m 25s), Accuracy: 75.000(23.918), Loss: 1.455(1.604), LR: 0.000001
[GPU cuda:1][TRAIN] Epoch: [1][1250/3100], Elapsed 4m 53s (remain 7m 13s), Accuracy: 25.000(24.141), Loss: 1.652(1.602), LR: 0.000001
[GPU cuda:1][TRAIN] Epoch: [1][1300/3100], Elapsed 5m 5s (remain 7m 2s), Accuracy: 0.000(24.520), Loss: 1.668(1.600), LR: 0.000001
[GPU cuda:1][TRAIN] Epoch: [1][1350/3100], Elapsed 5m 16s (remain 6m 50s), Accuracy: 50.000(24.611), Loss: 1.397(1.599), LR: 0.000001
[GPU cuda:1][TRAIN] Epoch: [1][1400/3100], Elapsed 5m 28s (remain 6m 38s), Accuracy: 50.000(24.857), Loss: 1.476(1.598), LR: 0.000001
