[GPU 1]: Config File
{'id': 8, 'model_name': 'swin_large_patch4_window12_384_in22k', 'dropout': 0.5, 'size': 384, 'batch_size_t': 4, 'batch_size_v': 8, 'n_targets': 5, 'criterion': 'CrossEntropyLoss', 'gradient_accumulation_steps': 1, 'max_gradient_norm': None, 'optimizer': 'Adam', 'scheduler': 'OneCycleLR', 'LR': 0.0001, 'T_0': 200, 'T_max': 10, 'T_mult': 2, 'min_lr': 1e-06, 'max_lr': 0.0001, 'no_batches': 3100, 'warmup_epochs': 1, 'cosine_epochs': 11, 'epochs': 12, 'update_per_batch': True, 'num_workers': 4, 'n_folds': 5, 'train_transforms': [], 'valid_transforms': [], 'observations': None, 'use_swa': True, 'swa_lr': 0.01, 'swa_epoch': [7, 8, 9, 10, 11, 12], 'use_sam': True, 'use_asam': True, 'asam_rho': 0.1, 'print_freq': 50, 'one_fold': True, 'use_apex': True, 'distributed_training': False, 'save_to_log': True}
================================================== Training Fold: 0 ==================================================
[GPU cuda:1][TRAIN] Epoch: [1][0/3100], Elapsed 0m 0s (remain 23m 26s), Accuracy: 0.000(0.000), Loss: 1.718(1.718), LR: 0.000004
[GPU cuda:1][TRAIN] Epoch: [1][50/3100], Elapsed 0m 12s (remain 12m 1s), Accuracy: 25.000(15.196), Loss: 1.553(1.651), LR: 0.000004
[GPU cuda:1][TRAIN] Epoch: [1][100/3100], Elapsed 0m 23s (remain 11m 45s), Accuracy: 25.000(20.792), Loss: 1.550(1.626), LR: 0.000004
[GPU cuda:1][TRAIN] Epoch: [1][150/3100], Elapsed 0m 35s (remain 11m 33s), Accuracy: 50.000(21.192), Loss: 1.425(1.617), LR: 0.000004
[GPU cuda:1][TRAIN] Epoch: [1][200/3100], Elapsed 0m 47s (remain 11m 21s), Accuracy: 75.000(23.383), Loss: 1.405(1.603), LR: 0.000004
[GPU cuda:1][TRAIN] Epoch: [1][250/3100], Elapsed 0m 58s (remain 11m 8s), Accuracy: 25.000(23.705), Loss: 1.580(1.599), LR: 0.000004
[GPU cuda:1][TRAIN] Epoch: [1][300/3100], Elapsed 1m 10s (remain 10m 56s), Accuracy: 0.000(24.668), Loss: 1.731(1.588), LR: 0.000004
[GPU cuda:1][TRAIN] Epoch: [1][350/3100], Elapsed 1m 22s (remain 10m 44s), Accuracy: 50.000(25.641), Loss: 1.383(1.580), LR: 0.000004
[GPU cuda:1][TRAIN] Epoch: [1][400/3100], Elapsed 1m 33s (remain 10m 32s), Accuracy: 25.000(26.683), Loss: 1.674(1.566), LR: 0.000004
[GPU cuda:1][TRAIN] Epoch: [1][450/3100], Elapsed 1m 45s (remain 10m 20s), Accuracy: 75.000(28.769), Loss: 0.980(1.539), LR: 0.000004
[GPU cuda:1][TRAIN] Epoch: [1][500/3100], Elapsed 1m 57s (remain 10m 8s), Accuracy: 50.000(29.940), Loss: 1.228(1.521), LR: 0.000004
[GPU cuda:1][TRAIN] Epoch: [1][550/3100], Elapsed 2m 8s (remain 9m 56s), Accuracy: 25.000(31.760), Loss: 1.420(1.494), LR: 0.000005
[GPU cuda:1][TRAIN] Epoch: [1][600/3100], Elapsed 2m 20s (remain 9m 44s), Accuracy: 25.000(33.444), Loss: 1.074(1.465), LR: 0.000005
[GPU cuda:1][TRAIN] Epoch: [1][650/3100], Elapsed 2m 32s (remain 9m 33s), Accuracy: 50.000(34.447), Loss: 0.995(1.441), LR: 0.000005
[GPU cuda:1][TRAIN] Epoch: [1][700/3100], Elapsed 2m 44s (remain 9m 21s), Accuracy: 75.000(36.091), Loss: 0.882(1.417), LR: 0.000005
[GPU cuda:1][TRAIN] Epoch: [1][750/3100], Elapsed 2m 55s (remain 9m 9s), Accuracy: 100.000(37.417), Loss: 0.372(1.392), LR: 0.000005
[GPU cuda:1][TRAIN] Epoch: [1][800/3100], Elapsed 3m 7s (remain 8m 57s), Accuracy: 50.000(38.296), Loss: 1.091(1.375), LR: 0.000005
[GPU cuda:1][TRAIN] Epoch: [1][850/3100], Elapsed 3m 19s (remain 8m 46s), Accuracy: 100.000(39.248), Loss: 0.679(1.358), LR: 0.000005
[GPU cuda:1][TRAIN] Epoch: [1][900/3100], Elapsed 3m 30s (remain 8m 34s), Accuracy: 75.000(39.623), Loss: 1.139(1.351), LR: 0.000006
[GPU cuda:1][TRAIN] Epoch: [1][950/3100], Elapsed 3m 42s (remain 8m 22s), Accuracy: 75.000(40.326), Loss: 0.948(1.338), LR: 0.000006
[GPU cuda:1][TRAIN] Epoch: [1][1000/3100], Elapsed 3m 54s (remain 8m 11s), Accuracy: 50.000(41.184), Loss: 0.842(1.320), LR: 0.000006
[GPU cuda:1][TRAIN] Epoch: [1][1050/3100], Elapsed 4m 5s (remain 7m 59s), Accuracy: 100.000(42.103), Loss: 0.568(1.299), LR: 0.000006
[GPU cuda:1][TRAIN] Epoch: [1][1100/3100], Elapsed 4m 17s (remain 7m 47s), Accuracy: 0.000(43.006), Loss: 1.725(1.282), LR: 0.000006
[GPU cuda:1][TRAIN] Epoch: [1][1150/3100], Elapsed 4m 29s (remain 7m 36s), Accuracy: 50.000(43.593), Loss: 0.800(1.270), LR: 0.000006
[GPU cuda:1][TRAIN] Epoch: [1][1200/3100], Elapsed 4m 40s (remain 7m 24s), Accuracy: 100.000(44.234), Loss: 0.182(1.256), LR: 0.000007
[GPU cuda:1][TRAIN] Epoch: [1][1250/3100], Elapsed 4m 52s (remain 7m 12s), Accuracy: 0.000(44.524), Loss: 2.183(1.247), LR: 0.000007
